Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Nevada,Churchill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Clark,4,4,6,6,10,10,14,14,23,28,34,39,41,41,41
Nevada,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Elko,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Nevada,Esmeralda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Eureka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Lander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Nye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Pershing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Storey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Washoe,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4
Nevada,White Pine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Carson City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Out of NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,Unassigned,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
