Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
New Jersey,Atlantic,6,6,12,10,14,17,24,29,31,40,50,72
New Jersey,Bergen,609,701,819,1206,1505,1838,2169,2482,2909,3494,4099,4866
New Jersey,Burlington,36,42,48,64,88,115,142,178,202,255,294,367
New Jersey,Camden,33,51,61,73,95,123,163,200,228,289,343,406
New Jersey,Cape May,2,3,4,6,7,7,9,9,12,22,34,44
New Jersey,Cumberland,1,2,3,4,9,11,11,12,18,27,31,36
New Jersey,Essex,273,342,381,609,826,1086,1227,1564,1900,2262,2617,3067
New Jersey,Gloucester,13,19,23,33,40,51,72,89,114,149,169,183
New Jersey,Hudson,190,234,260,441,594,771,974,1314,1606,1910,2270,2835
New Jersey,Hunterdon,18,25,25,39,52,61,66,79,97,117,130,148
New Jersey,Mercer,50,58,82,111,131,168,202,249,268,333,386,484
New Jersey,Middlesex,210,277,316,505,640,808,938,1123,1277,1493,1766,2125
New Jersey,Monmouth,238,288,313,501,634,781,870,1030,1140,1301,1458,1743
New Jersey,Morris,177,204,223,315,391,442,566,720,841,942,1082,1298
New Jersey,Ocean,144,180,222,389,484,624,759,874,1022,1209,1371,1685
New Jersey,Passaic,141,216,255,399,484,608,831,1091,1294,1494,1750,2216
New Jersey,Salem,1,1,1,2,3,3,3,3,12,19,20,25
New Jersey,Somerset,67,102,117,179,222,258,295,349,413,472,549,641
New Jersey,Sussex,15,18,27,49,65,81,93,113,132,158,179,210
New Jersey,Union,189,246,262,432,519,742,896,1213,1418,1661,2010,2487
New Jersey,Warren,12,15,18,31,38,51,56,68,76,96,116,149
New Jersey,Out of NJ,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,Unassigned,419,645,930,1478,1984,2478,3020,3847,3686,4512,4866,4808
