Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
New Jersey,Atlantic,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
New Jersey,Bergen,6,6,6,6,6,13,23,23,4,75,120,132,179,189,200
New Jersey,Burlington,0,0,0,0,0,0,2,2,0,5,8,9,10,11,11
New Jersey,Camden,1,1,1,1,1,1,1,1,3,3,6,7,8,8,8
New Jersey,Cape May,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
New Jersey,Cumberland,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
New Jersey,Essex,4,4,4,4,4,7,13,13,4,69,99,118,155,172,186
New Jersey,Gloucester,0,0,0,0,0,1,1,1,0,2,2,3,3,3,3
New Jersey,Hudson,1,1,1,1,2,4,6,7,2,29,44,59,78,87,92
New Jersey,Hunterdon,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
New Jersey,Mercer,0,0,0,0,0,0,0,0,0,3,4,5,13,16,19
New Jersey,Middlesex,0,0,0,0,0,4,12,12,0,27,48,56,76,80,87
New Jersey,Monmouth,3,3,3,3,3,6,8,8,2,24,38,48,54,58,62
New Jersey,Morris,1,1,1,1,1,3,8,8,1,25,40,43,51,55,60
New Jersey,Ocean,1,1,1,1,1,4,6,6,1,23,38,45,56,62,71
New Jersey,Passaic,0,0,0,0,7,7,10,10,1,15,22,34,38,42,53
New Jersey,Salem,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
New Jersey,Somerset,1,1,1,1,1,4,6,6,1,15,17,23,24,26,31
New Jersey,Sussex,0,0,0,0,0,0,1,1,0,6,7,8,9,9,11
New Jersey,Union,0,0,0,0,0,0,7,7,0,29,34,45,66,71,78
New Jersey,Warren,0,0,0,0,0,0,1,1,0,3,3,3,6,6,7
New Jersey,Out of NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,Unassigned,9,26,44,63,82,86,56,91,247,0,4,4,14,13,14
