Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
New Mexico,Bernalillo,38,43,48,48,55,93,101,101,129,129,148,202
New Mexico,Catron,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Chaves,4,4,4,4,4,7,8,8,10,10,10,13
New Mexico,Cibola,0,1,1,1,1,2,2,2,2,2,5,11
New Mexico,Colfax,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Curry,0,1,1,1,1,1,3,3,3,3,5,6
New Mexico,De Baca,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Dona Ana,10,13,13,13,16,17,17,17,18,18,21,23
New Mexico,Eddy,0,0,1,1,1,3,4,4,4,4,4,4
New Mexico,Grant,0,0,0,0,0,0,0,0,0,0,1,1
New Mexico,Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Harding,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Lea,1,1,1,1,1,2,2,2,2,2,2,2
New Mexico,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Los Alamos,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Luna,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,McKinley,2,3,3,3,3,5,9,9,16,25,29,46
New Mexico,Mora,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Otero,0,0,0,0,0,0,0,0,0,1,1,1
New Mexico,Quay,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Rio Arriba,0,0,2,2,2,3,2,2,4,4,4,5
New Mexico,Roosevelt,0,0,0,0,0,1,1,1,1,1,1,1
New Mexico,Sandoval,7,7,8,8,10,15,18,18,29,29,32,66
New Mexico,San Juan,3,7,8,8,14,18,22,22,32,47,52,72
New Mexico,San Miguel,1,1,1,1,1,1,1,1,1,1,1,1
New Mexico,Santa Fe,12,14,17,17,22,29,34,34,42,42,48,48
New Mexico,Sierra,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Socorro,2,2,2,2,2,2,2,2,3,3,3,8
New Mexico,Taos,3,3,3,3,3,8,9,9,11,11,12,13
New Mexico,Torrance,0,0,0,0,0,0,0,0,3,3,3,3
New Mexico,Union,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Valencia,0,0,0,0,0,1,2,2,5,5,5,5
New Mexico,Out of NM,0,0,0,0,0,0,0,0,0,0,0,0
New Mexico,Unassigned,0,0,0,0,0,0,0,0,0,0,1,3
