Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
North Carolina,Alamance,2,3,3,4,5,5,6,7,7,7,13,14
North Carolina,Alexander,0,0,0,0,0,1,1,1,2,2,2,2
North Carolina,Alleghany,0,0,0,0,0,1,2,2,2,2,2,2
North Carolina,Anson,0,0,0,0,0,0,0,0,1,1,1,3
North Carolina,Ashe,0,0,0,0,0,0,0,0,0,0,0,1
North Carolina,Avery,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Beaufort,0,2,3,3,3,3,3,4,5,7,7,8
North Carolina,Bertie,0,1,3,3,3,3,3,5,6,6,6,6
North Carolina,Bladen,0,0,0,0,0,0,0,0,0,0,1,1
North Carolina,Brunswick,8,10,10,11,11,12,12,14,16,16,23,23
North Carolina,Buncombe,8,12,12,15,15,17,19,20,22,22,22,31
North Carolina,Burke,0,0,2,2,3,4,4,5,6,6,9,10
North Carolina,Cabarrus,6,10,12,18,22,31,32,38,47,47,50,58
North Carolina,Caldwell,0,1,3,3,3,3,3,3,3,3,3,3
North Carolina,Camden,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Carteret,5,5,5,5,5,7,7,11,12,14,14,16
North Carolina,Caswell,0,0,0,0,0,1,1,1,1,1,1,1
North Carolina,Catawba,4,4,4,9,10,10,14,14,14,16,16,20
North Carolina,Chatham,3,3,6,9,11,12,13,14,16,16,19,19
North Carolina,Cherokee,4,4,4,4,4,4,6,7,7,11,11,11
North Carolina,Chowan,1,1,0,0,0,0,0,0,0,0,1,1
North Carolina,Clay,0,0,0,0,0,0,0,0,1,3,3,3
North Carolina,Cleveland,0,0,2,2,2,3,5,7,6,6,7,10
North Carolina,Columbus,0,0,0,0,0,2,3,3,4,4,4,5
North Carolina,Craven,2,3,3,3,4,4,5,5,6,7,10,13
North Carolina,Cumberland,3,5,8,8,8,8,13,15,18,24,27,35
North Carolina,Currituck,0,0,0,0,0,0,1,1,1,1,2,2
North Carolina,Dare,0,0,1,1,2,2,2,1,2,2,3,3
North Carolina,Davidson,2,3,3,4,12,14,16,17,22,41,41,51
North Carolina,Davie,1,1,1,1,2,6,6,6,11,12,12,12
North Carolina,Duplin,0,1,1,1,1,1,1,1,1,2,2,4
North Carolina,Durham,41,71,74,93,93,113,113,107,122,126,147,159
North Carolina,Edgecombe,0,0,0,0,0,1,1,1,3,3,4,4
North Carolina,Forsyth,12,14,15,17,24,33,35,40,42,57,63,80
North Carolina,Franklin,4,4,5,5,5,5,5,5,11,11,12,13
North Carolina,Gaston,4,4,6,12,17,17,21,25,27,31,33,39
North Carolina,Gates,0,0,0,0,0,0,0,0,0,0,1,1
North Carolina,Graham,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Granville,1,1,1,1,3,3,6,6,9,16,20,22
North Carolina,Greene,0,0,0,0,0,3,3,3,3,4,5,5
North Carolina,Guilford,11,16,22,24,31,34,39,44,50,55,74,88
North Carolina,Halifax,0,0,0,0,1,1,2,4,6,6,7,7
North Carolina,Harnett,8,9,10,11,11,11,14,14,18,18,19,19
North Carolina,Haywood,0,0,0,0,0,0,0,0,0,0,2,2
North Carolina,Henderson,2,2,2,6,7,9,13,13,18,18,22,22
North Carolina,Hertford,1,1,2,3,3,3,2,3,4,4,4,4
North Carolina,Hoke,1,1,2,2,2,2,3,3,4,4,7,9
North Carolina,Hyde,1,1,1,1,1,1,1,0,0,0,0,0
North Carolina,Iredell,8,9,11,13,15,18,21,25,25,25,36,36
North Carolina,Jackson,1,1,1,1,1,1,1,1,1,1,1,2
North Carolina,Johnston,3,4,8,9,9,9,10,10,14,17,20,25
North Carolina,Jones,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Lee,1,1,1,2,2,2,2,2,3,3,3,3
North Carolina,Lenoir,0,1,2,3,3,3,3,3,3,3,5,7
North Carolina,Lincoln,1,1,1,1,1,1,3,3,4,4,8,9
North Carolina,McDowell,0,2,2,2,2,5,5,5,7,8,8,8
North Carolina,Macon,0,0,0,0,0,0,0,0,0,0,1,1
North Carolina,Madison,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Martin,0,0,0,0,0,0,0,0,3,3,3,3
North Carolina,Mecklenburg,97,142,170,204,259,299,336,382,420,444,533,601
North Carolina,Mitchell,0,0,0,1,1,1,1,1,1,1,1,1
North Carolina,Montgomery,1,1,1,3,3,3,3,3,5,5,6,8
North Carolina,Moore,2,2,2,3,3,5,7,8,8,8,11,11
North Carolina,Nash,1,4,4,4,4,4,4,4,9,11,11,16
North Carolina,New Hanover,4,10,10,14,15,25,25,27,34,34,42,42
North Carolina,Northampton,1,1,1,3,3,3,25,26,30,30,30,36
North Carolina,Onslow,3,3,4,4,4,4,4,4,7,7,8,10
North Carolina,Orange,6,6,13,16,24,24,29,30,34,34,37,44
North Carolina,Pamlico,0,0,0,0,0,0,0,1,1,1,2,3
North Carolina,Pasquotank,1,1,1,1,1,1,2,2,4,4,7,7
North Carolina,Pender,0,0,0,0,0,0,0,0,0,0,0,1
North Carolina,Perquimans,0,0,0,0,0,1,1,1,1,1,1,1
North Carolina,Person,0,0,1,1,1,1,1,1,2,2,2,2
North Carolina,Pitt,6,6,6,8,8,10,15,20,27,27,29,33
North Carolina,Polk,0,0,0,0,1,2,2,2,3,4,4,6
North Carolina,Randolph,1,3,3,3,8,9,15,15,17,17,19,19
North Carolina,Richmond,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Robeson,1,2,2,2,2,2,2,2,3,3,3,3
North Carolina,Rockingham,0,0,0,0,0,0,0,0,2,2,2,3
North Carolina,Rowan,4,5,6,12,12,12,17,18,23,24,31,37
North Carolina,Rutherford,0,0,0,0,0,0,0,2,5,5,9,12
North Carolina,Sampson,1,1,1,1,1,1,1,1,1,1,1,2
North Carolina,Scotland,1,1,1,1,1,1,2,2,2,2,2,2
North Carolina,Stanly,0,0,0,0,0,3,5,5,5,5,5,7
North Carolina,Stokes,0,0,0,0,0,0,0,0,0,2,3,5
North Carolina,Surry,0,0,0,1,1,1,2,2,2,2,2,2
North Carolina,Swain,0,0,0,0,1,1,1,0,0,0,0,0
North Carolina,Transylvania,1,1,2,2,3,3,3,3,5,5,5,5
North Carolina,Tyrrell,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Union,13,18,23,27,34,34,38,38,41,47,55,60
North Carolina,Vance,1,1,2,2,2,2,3,3,4,5,6,7
North Carolina,Wake,52,66,73,100,123,123,146,166,193,213,251,275
North Carolina,Warren,0,0,0,0,0,0,0,0,0,0,0,1
North Carolina,Washington,0,0,0,0,0,0,1,1,2,2,2,3
North Carolina,Watauga,2,3,3,3,5,5,5,5,5,6,8,8
North Carolina,Wayne,1,2,3,3,3,3,3,4,5,5,7,11
North Carolina,Wilkes,0,0,0,0,0,0,0,1,2,2,4,4
North Carolina,Wilson,4,4,6,7,7,7,10,13,13,15,17,21
North Carolina,Yadkin,0,0,0,0,0,1,1,1,3,3,4,6
North Carolina,Yancey,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Out of NC,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
