Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
North Carolina,Alamance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Alleghany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Anson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Ashe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Avery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Beaufort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Bertie,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
North Carolina,Bladen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Brunswick,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
North Carolina,Buncombe,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
North Carolina,Burke,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
North Carolina,Cabarrus,0,0,1,2,2,2,2,1,1,1,1,1,1,1,1
North Carolina,Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Carteret,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1
North Carolina,Caswell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Catawba,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
North Carolina,Chatham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Cherokee,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
North Carolina,Chowan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Cleveland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Columbus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Craven,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Currituck,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Dare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Davidson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
North Carolina,Davie,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
North Carolina,Duplin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Durham,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
North Carolina,Edgecombe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Forsyth,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
North Carolina,Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Gaston,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
North Carolina,Gates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Granville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Guilford,0,0,0,0,0,0,0,0,1,1,3,4,5,5,5
North Carolina,Halifax,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Harnett,0,0,0,1,1,1,1,1,1,1,1,1,1,2,2
North Carolina,Haywood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Henderson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
North Carolina,Hertford,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
North Carolina,Hoke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Hyde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Iredell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Johnston,0,0,0,0,1,1,1,1,1,1,1,2,3,3,3
North Carolina,Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Lenoir,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,McDowell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,Mecklenburg,0,0,0,0,0,0,1,1,1,1,3,3,4,4,7
