Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Ohio,Adams,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Allen,0,0,0,0,0,2,4,4,5,6,10,12
Ohio,Ashland,1,1,1,1,3,3,2,2,2,2,3,4
Ohio,Ashtabula,3,3,3,3,5,6,6,6,6,6,8,9
Ohio,Athens,0,0,0,1,1,2,3,3,3,3,3,3
Ohio,Auglaize,0,0,0,0,0,1,2,2,2,3,3,4
Ohio,Belmont,2,2,3,3,6,8,8,8,9,11,12,14
Ohio,Brown,0,0,0,0,0,0,0,1,2,2,2,3
Ohio,Butler,17,18,18,21,23,25,27,30,36,41,45,49
Ohio,Carroll,2,3,3,3,3,3,4,5,5,5,5,5
Ohio,Champaign,0,1,1,2,2,2,2,3,3,4,4,5
Ohio,Clark,1,2,2,2,2,2,7,6,6,6,7,7
Ohio,Clermont,5,5,5,6,6,8,8,9,10,11,14,17
Ohio,Clinton,1,1,2,2,2,3,3,3,3,4,5,6
Ohio,Columbiana,2,3,4,5,7,9,11,11,15,19,22,26
Ohio,Coshocton,3,3,4,4,4,4,4,5,5,7,8,10
Ohio,Crawford,0,1,1,1,1,2,2,5,5,5,6,7
Ohio,Cuyahoga,149,167,206,259,330,370,440,493,527,589,663,780
Ohio,Darke,1,1,1,1,1,1,3,12,13,22,22,28
Ohio,Defiance,2,2,2,2,5,5,5,5,5,6,6,7
Ohio,Delaware,7,11,12,15,20,26,31,38,42,47,50,61
Ohio,Erie,1,1,2,3,3,5,5,5,5,5,5,6
Ohio,Fairfield,0,2,5,6,8,14,14,13,14,22,28,32
Ohio,Fayette,0,0,1,1,1,1,1,1,1,1,1,1
Ohio,Franklin,44,75,88,109,152,222,247,281,325,391,441,503
Ohio,Fulton,0,0,0,0,2,2,2,2,2,2,3,4
Ohio,Gallia,1,1,1,1,1,1,1,1,1,1,3,4
Ohio,Geauga,2,5,4,7,10,14,17,22,24,25,33,41
Ohio,Greene,1,3,3,3,3,3,3,3,6,8,8,9
Ohio,Guernsey,0,0,0,0,0,0,0,0,0,0,1,1
Ohio,Hamilton,26,38,48,53,63,71,85,101,124,154,178,203
Ohio,Hancock,1,1,1,2,2,3,3,3,5,6,8,9
Ohio,Hardin,0,0,0,0,0,0,0,0,0,0,1,1
