Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Ohio,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Ashtabula,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Athens,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Ohio,Auglaize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Belmont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Ohio,Brown,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Ohio,Butler,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2
Ohio,Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Clermont,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Ohio,Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Columbiana,0,0,0,1,1,1,1,2,2,2,2,3,5,5,5
Ohio,Coshocton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Cuyahoga,1,2,2,2,2,3,3,4,6,9,12,13,13,14,15
Ohio,Darke,0,0,0,0,0,0,0,0,1,1,1,1,2,4,6
Ohio,Defiance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Delaware,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Ohio,Erie,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ohio,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Franklin,2,2,2,2,2,2,3,2,3,4,5,5,6,8,9
Ohio,Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Gallia,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Ohio,Geauga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Greene,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Ohio,Guernsey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,Hamilton,0,0,0,0,0,0,0,0,0,0,2,2,2,3,9
Ohio,Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
