Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Oklahoma,Adair,0,0,2,2,3,3,4,4,4,8,9,14
Oklahoma,Alfalfa,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Atoka,0,0,0,0,0,0,0,0,0,0,1,1
Oklahoma,Beaver,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Beckham,0,0,0,0,0,0,0,1,1,1,1,1
Oklahoma,Blaine,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Bryan,0,0,1,1,1,1,1,1,1,1,2,3
Oklahoma,Caddo,0,0,0,0,1,1,1,1,1,1,2,2
Oklahoma,Canadian,2,4,5,6,11,11,12,15,19,24,28,29
Oklahoma,Carter,0,0,1,1,1,1,1,1,1,1,1,1
Oklahoma,Cherokee,0,0,0,0,1,1,1,1,4,7,7,7
Oklahoma,Choctaw,0,0,0,0,1,1,1,1,1,1,1,1
Oklahoma,Cimarron,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Cleveland,16,22,27,39,39,46,51,60,65,87,121,130
Oklahoma,Coal,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Comanche,0,0,0,3,6,6,11,12,15,21,27,33
Oklahoma,Cotton,0,0,0,0,0,0,0,1,1,1,1,4
Oklahoma,Craig,0,0,0,1,1,1,1,1,1,2,2,2
Oklahoma,Creek,0,0,5,10,14,16,16,18,21,27,36,39
Oklahoma,Custer,1,2,3,3,3,3,4,4,4,4,5,5
Oklahoma,Delaware,0,0,1,1,2,4,4,7,7,8,10,11
Oklahoma,Dewey,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Ellis,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Garfield,0,0,0,0,0,0,2,2,2,4,4,5
Oklahoma,Garvin,2,2,2,2,2,2,4,6,6,7,8,8
Oklahoma,Grady,1,1,1,2,2,2,2,3,2,3,3,5
Oklahoma,Grant,0,0,0,0,0,0,0,0,0,0,0,1
Oklahoma,Greer,0,0,0,0,0,0,0,0,0,2,2,5
Oklahoma,Harmon,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Harper,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Haskell,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Hughes,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Jackson,1,1,1,1,1,1,1,1,1,2,2,4
Oklahoma,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Johnston,0,0,0,0,0,0,0,0,0,0,0,0
Oklahoma,Kay,5,5,5,11,17,18,20,20,24,24,24,25
Oklahoma,Kingfisher,0,0,0,0,0,0,0,0,0,0,2,3
Oklahoma,Kiowa,0,0,0,0,0,0,0,0,0,0,1,1
Oklahoma,Latimer,0,0,0,0,1,1,1,1,1,2,2,2
Oklahoma,Le Flore,0,0,0,0,0,1,1,1,1,1,1,1
