Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Pennsylvania,Adams,6,6,6,7,8,8,8,8,9,12,18,19
Pennsylvania,Allegheny,48,58,88,133,158,219,265,290,325,356,419,476
Pennsylvania,Armstrong,0,1,1,1,1,2,3,3,5,5,7,11
Pennsylvania,Beaver,3,3,7,13,14,22,28,44,52,54,55,65
Pennsylvania,Bedford,0,0,0,0,0,0,0,0,2,3,3,3
Pennsylvania,Berks,14,16,20,36,65,65,68,82,110,151,168,201
Pennsylvania,Blair,0,0,0,1,1,2,3,6,4,4,4,4
Pennsylvania,Bradford,0,1,1,2,2,3,3,3,7,8,8,9
Pennsylvania,Bucks,43,69,86,110,144,152,216,249,288,319,373,450
Pennsylvania,Butler,5,6,12,19,26,41,47,49,60,64,69,75
Pennsylvania,Cambria,1,1,1,1,1,1,1,2,2,3,4,4
Pennsylvania,Cameron,0,0,0,0,0,1,1,1,1,1,1,1
Pennsylvania,Carbon,0,1,1,2,2,3,9,13,17,23,26,34
Pennsylvania,Centre,3,7,8,9,11,15,22,24,26,27,28,32
Pennsylvania,Chester,40,40,54,84,107,116,137,146,159,183,210,226
Pennsylvania,Clarion,0,0,0,0,0,1,1,1,3,4,4,4
Pennsylvania,Clearfield,0,1,2,2,2,2,2,4,4,4,4,5
Pennsylvania,Clinton,0,0,0,0,0,0,0,0,0,0,0,1
Pennsylvania,Columbia,1,1,1,3,3,4,6,6,7,8,11,15
Pennsylvania,Crawford,0,0,0,1,1,2,3,4,4,5,5,5
Pennsylvania,Cumberland,12,13,13,15,16,22,22,24,36,38,41,45
Pennsylvania,Dauphin,1,4,10,13,18,23,35,36,45,59,67,79
Pennsylvania,Delaware,54,84,101,156,185,226,276,303,338,390,470,542
Pennsylvania,Elk,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Erie,3,5,5,5,7,7,7,13,14,15,17,17
Pennsylvania,Fayette,1,2,4,8,9,10,10,11,14,14,15,20
Pennsylvania,Forest,0,0,0,0,0,0,0,0,0,0,1,1
Pennsylvania,Franklin,1,3,5,5,5,7,11,12,19,21,23,26
Pennsylvania,Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Greene,0,0,2,3,4,6,6,7,9,9,11,11
Pennsylvania,Huntingdon,0,0,0,0,0,1,1,1,1,1,2,3
Pennsylvania,Indiana,0,0,0,1,2,2,2,2,6,6,6,7
Pennsylvania,Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Juniata,0,1,1,1,1,1,1,3,3,2,2,5
Pennsylvania,Lackawanna,7,15,18,28,35,51,56,62,78,85,108,119
Pennsylvania,Lancaster,5,10,12,21,33,45,67,97,123,157,203,232
Pennsylvania,Lawrence,0,0,1,1,4,8,8,10,13,13,16,19
Pennsylvania,Lebanon,3,3,3,4,12,15,19,27,28,36,45,54
Pennsylvania,Lehigh,25,27,38,63,93,109,151,231,272,374,479,584
Pennsylvania,Luzerne,10,21,27,36,55,65,94,150,212,282,384,484
Pennsylvania,Lycoming,0,0,1,1,2,2,3,4,6,7,7,8
Pennsylvania,McKean,0,0,0,0,0,1,1,1,1,1,1,1
Pennsylvania,Mercer,1,2,2,3,4,6,7,7,8,8,9,10
Pennsylvania,Mifflin,0,0,0,0,0,0,2,1,2,1,1,2
Pennsylvania,Monroe,43,45,51,67,98,106,135,182,236,278,321,397
Pennsylvania,Montgomery,136,159,219,313,374,411,488,540,570,649,735,875
Pennsylvania,Montour,1,3,4,4,4,5,4,10,9,13,15,16
Pennsylvania,Northampton,23,33,44,56,79,94,126,184,245,312,378,466
Pennsylvania,Northumberland,0,0,0,0,0,1,1,1,1,6,8,8
Pennsylvania,Perry,0,0,0,0,0,1,1,1,1,1,3,4
Pennsylvania,Philadelphia,175,252,342,475,637,803,890,1072,1315,1675,2100,2430
Pennsylvania,Pike,3,4,8,15,23,27,33,39,48,57,68,83
Pennsylvania,Potter,1,1,1,1,1,2,2,2,2,2,2,2
Pennsylvania,Schuylkill,3,5,7,9,13,16,21,30,38,47,54,63
Pennsylvania,Snyder,0,0,0,0,0,1,2,2,2,3,3,4
Pennsylvania,Somerset,0,1,2,2,2,2,2,2,2,3,3,3
Pennsylvania,Sullivan,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Susquehanna,0,0,0,1,1,1,1,1,1,2,3,4
Pennsylvania,Tioga,0,0,0,0,0,1,1,1,2,2,2,3
Pennsylvania,Union,0,0,0,0,1,0,0,4,4,2,2,3
Pennsylvania,Venango,0,0,0,0,0,0,1,1,3,3,3,3
Pennsylvania,Warren,0,0,1,1,1,1,1,1,1,1,1,1
Pennsylvania,Washington,7,9,10,12,14,23,24,26,33,35,38,40
Pennsylvania,Wayne,3,4,4,6,6,6,7,10,10,14,17,23
Pennsylvania,Westmoreland,6,11,16,24,30,41,47,55,61,72,84,110
Pennsylvania,Wyoming,0,0,0,0,0,0,0,0,0,0,1,2
Pennsylvania,York,10,18,20,21,30,37,43,54,66,79,102,121
Pennsylvania,Out of PA,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
