Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Pennsylvania,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Allegheny,1,2,2,2,2,2,2,2,2,2,2,2,3,4,4
Pennsylvania,Armstrong,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Beaver,0,0,0,0,0,0,0,0,1,2,2,2,6,6,6
Pennsylvania,Bedford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Berks,0,0,0,0,0,0,0,0,0,0,1,1,2,3,3
Pennsylvania,Blair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Bucks,0,0,0,0,0,0,1,4,3,6,6,8,11,14,17
Pennsylvania,Butler,0,0,0,1,1,2,2,2,2,2,2,2,2,2,2
Pennsylvania,Cambria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Carbon,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Pennsylvania,Centre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Chester,0,0,0,0,0,0,0,0,1,1,2,2,2,2,3
Pennsylvania,Clarion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Clearfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pennsylvania,Cumberland,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2
Pennsylvania,Dauphin,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Pennsylvania,Delaware,0,0,2,2,3,4,4,4,5,7,8,10,13,14,15
