Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
South Carolina,Abbeville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Aiken,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
South Carolina,Allendale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Anderson,0,0,0,0,0,0,0,1,1,2,3,3,3,3,4
South Carolina,Bamberg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Barnwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Beaufort,0,0,0,0,0,0,0,1,1,2,2,2,3,4,4
South Carolina,Berkeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Calhoun,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
South Carolina,Charleston,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1
South Carolina,Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Chester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Chesterfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Clarendon,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2
South Carolina,Colleton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Darlington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Dillon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Dorchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Edgefield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Fairfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Florence,1,1,2,2,3,3,3,3,3,3,5,5,5,5,5
South Carolina,Georgetown,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
South Carolina,Greenville,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
South Carolina,Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Hampton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Horry,0,0,1,1,1,2,3,3,3,3,4,4,4,5,6
South Carolina,Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Kershaw,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2
South Carolina,Lancaster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Laurens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Lee,0,0,0,0,0,0,0,0,0,1,1,1,1,2,2
South Carolina,Lexington,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3
South Carolina,McCormick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Marion,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
South Carolina,Marlboro,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Newberry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Oconee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Orangeburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Pickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Richland,0,0,0,0,1,2,2,2,2,3,3,5,6,6,7
South Carolina,Saluda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Spartanburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
South Carolina,Sumter,0,0,0,2,2,2,2,2,2,2,3,3,3,3,3
South Carolina,Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Williamsburg,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,York,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2
South Carolina,Out of SC,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Carolina,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
