Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
South Dakota,Aurora,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Beadle,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
South Dakota,Bennett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Bon Homme,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Brookings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Brule,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Campbell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Charles Mix,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Codington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Corson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Davison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Deuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Dewey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Edmunds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Fall River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Faulk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Gregory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Haakon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Hamlin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Hanson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Harding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Hughes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Hutchinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Hyde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Jerauld,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Kingsbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Lyman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,McCook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,McPherson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Meade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Mellette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Miner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Minnehaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
South Dakota,Moody,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Oglala Lakota,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Pennington,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
South Dakota,Perkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Potter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Roberts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Sanborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Spink,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Stanley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Sully,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Todd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Tripp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Turner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
South Dakota,Walworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
