Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Tennessee,Anderson,1,1,3,3,4,5,6,6,10,10,10,10
Tennessee,Bedford,0,0,1,1,1,1,1,1,2,4,6,6
Tennessee,Benton,0,0,0,1,2,3,3,3,4,4,4,4
Tennessee,Bledsoe,0,0,0,0,0,2,2,2,2,2,2,2
Tennessee,Blount,2,3,3,4,6,9,9,9,25,28,32,33
Tennessee,Bradley,1,2,3,5,6,5,8,8,10,14,18,21
Tennessee,Campbell,2,2,2,2,4,4,4,4,4,4,4,4
Tennessee,Cannon,0,0,0,1,2,3,2,3,3,3,4,4
Tennessee,Carroll,2,3,3,3,4,4,5,5,5,5,5,6
Tennessee,Carter,0,0,0,0,0,1,1,1,1,1,1,3
Tennessee,Cheatham,4,5,7,7,7,7,8,8,10,11,11,11
Tennessee,Chester,1,1,1,2,2,2,2,2,3,3,3,5
Tennessee,Claiborne,1,1,1,2,2,2,2,2,2,2,2,2
Tennessee,Clay,0,0,0,0,0,0,0,0,0,1,1,1
Tennessee,Cocke,1,1,1,1,1,1,1,1,1,1,1,1
Tennessee,Coffee,0,0,0,0,0,0,1,1,1,1,3,3
Tennessee,Crockett,0,0,0,0,0,0,0,0,0,0,0,0
Tennessee,Cumberland,2,3,3,6,6,6,9,9,11,14,16,22
Tennessee,Davidson,164,253,257,293,312,376,394,443,541,673,617,685
Tennessee,Decatur,0,0,0,0,0,1,1,1,0,0,0,0
Tennessee,DeKalb,0,0,0,0,0,3,3,3,4,5,5,5
Tennessee,Dickson,5,5,5,7,9,11,11,11,17,18,20,21
Tennessee,Dyer,2,2,2,3,3,3,3,3,3,3,5,5
Tennessee,Fayette,2,2,3,3,3,4,10,10,12,14,14,17
Tennessee,Fentress,0,0,0,0,0,0,0,0,1,1,1,1
Tennessee,Franklin,1,1,1,2,3,3,6,6,5,7,8,12
Tennessee,Gibson,1,2,2,2,2,2,3,3,6,6,6,7
Tennessee,Giles,0,0,0,0,0,0,0,1,3,3,3,3
Tennessee,Grainger,0,0,0,0,0,0,0,0,0,3,3,3
