Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Utah,Beaver,0,0,0,0,0,0,1,0,0,0,0,0
Utah,Box Elder,1,1,0,0,0,4,5,13,7,7,7,10
Utah,Cache,3,3,0,0,0,5,5,0,7,7,7,15
Utah,Carbon,0,0,0,0,0,0,0,0,0,0,0,1
Utah,Daggett,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Davis,29,31,35,39,50,59,69,77,84,84,103,122
Utah,Duchesne,0,0,0,0,0,0,0,0,0,0,1,1
Utah,Emery,0,0,0,0,0,0,0,0,0,0,0,1
Utah,Garfield,0,0,0,0,0,0,1,0,1,1,1,1
Utah,Grand,0,0,0,0,0,0,4,0,1,1,1,1
Utah,Iron,0,0,0,0,0,0,2,0,6,6,7,10
Utah,Juab,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Kane,0,0,0,0,0,0,0,0,0,0,1,1
Utah,Millard,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Morgan,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Piute,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Rich,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Salt Lake,109,124,151,178,218,276,321,360,396,396,476,541
Utah,San Juan,0,0,0,0,0,1,4,4,4,4,11,12
Utah,Sanpete,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Sevier,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Summit,65,82,89,95,102,127,151,167,172,172,204,222
Utah,Tooele,2,2,3,4,5,8,9,9,12,12,13,16
Utah,Uintah,0,0,0,0,0,0,0,0,1,1,1,1
Utah,Utah,11,13,18,24,26,30,50,57,70,70,105,150
Utah,Wasatch,11,15,15,20,28,36,39,44,50,50,61,69
Utah,Washington,5,5,5,8,9,13,8,15,14,14,18,21
Utah,Wayne,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Weber,8,9,10,14,20,29,37,39,41,41,53,58
Utah,Out of UT,13,13,14,14,14,14,14,19,22,22,22,0
Utah,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
