Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Utah,Beaver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Box Elder,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Cache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Daggett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Davis,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
Utah,Duchesne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Emery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Grand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Iron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Juab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Kane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Millard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Piute,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Rich,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Salt Lake,0,0,0,0,0,0,0,2,2,2,4,4,4,4,7
Utah,San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Sanpete,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Sevier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Summit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Tooele,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Uintah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Utah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Utah,Wasatch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Washington,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Utah,Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Weber,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Utah,Out of UT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
