Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Virginia,Accomack,1,1,2,2,2,2,3,6,7,7,10,8
Virginia,Albemarle,2,2,4,6,8,16,17,19,21,21,23,26
Virginia,Alleghany,0,0,0,0,0,0,0,1,1,1,2,2
Virginia,Amelia,0,0,0,1,1,1,1,1,2,2,4,5
Virginia,Amherst,1,1,1,1,1,2,2,3,3,5,6,6
Virginia,Appomattox,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Arlington,34,36,46,54,63,75,84,86,104,119,128,135
Virginia,Augusta,0,0,0,0,0,0,0,0,0,1,2,4
Virginia,Bath,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Bedford,1,1,3,3,3,3,3,2,2,3,3,3
Virginia,Bland,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Botetourt,1,1,1,1,1,1,2,5,5,6,8,8
Virginia,Brunswick,0,0,0,0,0,0,0,0,1,1,1,1
Virginia,Buchanan,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Buckingham,0,0,0,0,0,0,0,0,2,2,2,3
Virginia,Campbell,0,0,0,0,0,0,0,0,1,2,2,2
Virginia,Caroline,0,0,0,0,0,0,0,0,0,0,0,1
Virginia,Carroll,0,0,0,0,0,0,0,0,1,1,1,1
Virginia,Charles City,1,1,1,1,1,1,1,1,1,2,4,4
Virginia,Charlotte,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Chesterfield,9,10,11,12,12,12,12,21,43,59,73,89
Virginia,Clarke,0,0,0,0,0,0,0,0,0,0,1,2
Virginia,Craig,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Culpeper,2,2,2,2,2,2,2,3,3,5,6,7
Virginia,Cumberland,0,0,0,0,0,0,0,0,0,0,1,1
Virginia,Dickenson,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Dinwiddie,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Essex,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Fairfax,43,46,76,79,124,156,188,224,244,288,328,372
Virginia,Fauquier,0,0,0,1,4,6,6,6,7,7,8,9
Virginia,Floyd,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Fluvanna,1,1,1,3,3,3,3,3,3,3,4,5
Virginia,Franklin,1,1,1,1,1,1,5,5,5,5,6,9
Virginia,Frederick,0,0,2,2,4,4,8,10,12,15,16,20
Virginia,Giles,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Gloucester,2,2,2,2,3,6,6,7,7,8,8,8
Virginia,Goochland,2,3,3,3,3,5,6,6,7,7,9,8
Virginia,Grayson,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Greene,0,0,0,0,1,1,1,1,1,1,1,1
Virginia,Greensville,0,0,0,0,0,0,1,3,3,3,3,4
Virginia,Halifax,0,1,1,1,1,1,1,1,1,1,1,1
Virginia,Hanover,2,1,2,2,2,3,4,5,6,6,8,12
Virginia,Henrico,11,14,20,21,28,31,40,44,62,78,87,112
Virginia,Henry,0,0,0,0,0,0,0,1,1,2,2,3
Virginia,Highland,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Isle of Wight,1,2,2,2,2,3,3,3,4,5,8,11
Virginia,James City,34,37,41,49,55,65,70,73,89,95,97,104
Virginia,King and Queen,0,0,0,0,0,0,0,0,1,1,1,1
Virginia,King George,0,0,0,0,1,2,2,3,3,4,4,6
Virginia,King William,0,0,0,0,0,0,0,1,1,1,1,1
Virginia,Lancaster,0,0,0,0,0,1,1,1,1,1,1,1
Virginia,Lee,2,2,2,2,2,2,2,2,2,2,2,2
Virginia,Loudoun,15,18,20,28,43,54,61,61,87,105,121,130
Virginia,Louisa,2,2,3,4,5,6,6,8,9,12,12,12
Virginia,Lunenburg,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Madison,0,1,1,1,2,3,3,3,3,3,3,2
Virginia,Mathews,0,0,1,1,1,2,4,2,2,2,2,2
Virginia,Mecklenburg,1,2,3,3,4,4,4,4,4,4,5,7
Virginia,Middlesex,0,0,0,0,0,0,0,0,0,0,0,0
Virginia,Montgomery,0,0,0,0,1,1,1,1,1,1,1,1
Virginia,Nelson,0,1,1,1,1,2,2,2,2,2,2,2
Virginia,New Kent,0,0,0,0,0,1,1,1,1,1,3,6
Virginia,Northampton,0,0,0,0,1,1,1,1,1,1,1,2
Virginia,Northumberland,0,0,0,0,2,2,2,2,3,3,3,3
