Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
West Virginia,Barbour,0,0,0,0,0,0,0,0,0,1,1,1
West Virginia,Berkeley,0,0,2,2,4,9,10,14,16,21,27,37
West Virginia,Boone,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Braxton,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Brooke,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Cabell,0,0,0,0,0,0,0,1,1,1,3,5
West Virginia,Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Clay,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Doddridge,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Fayette,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Gilmer,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Grant,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Greenbrier,0,0,0,0,0,1,2,3,3,3,3,3
West Virginia,Hampshire,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Hancock,0,0,0,1,0,1,3,3,3,6,5,5
West Virginia,Hardy,0,0,0,0,0,0,0,0,1,1,2,2
West Virginia,Harrison,0,2,3,3,4,4,5,10,11,14,17,17
West Virginia,Jackson,1,1,2,4,5,6,7,8,9,11,11,11
West Virginia,Jefferson,3,3,3,3,4,4,4,6,8,9,12,12
West Virginia,Kanawha,3,4,4,5,15,17,19,23,31,37,39,40
West Virginia,Lewis,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Logan,0,0,0,1,1,1,1,2,2,3,4,4
West Virginia,McDowell,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Marion,0,0,0,1,2,3,5,5,5,8,10,11
West Virginia,Marshall,2,2,2,2,3,3,4,4,4,4,4,4
West Virginia,Mason,0,0,0,0,1,3,3,3,3,3,3,3
West Virginia,Mercer,2,2,2,2,2,2,2,2,2,2,3,3
West Virginia,Mineral,0,0,0,0,0,0,0,0,0,0,0,2
West Virginia,Mingo,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Monongalia,2,5,16,18,24,23,29,31,31,32,35,35
West Virginia,Monroe,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Morgan,0,0,0,0,0,0,0,1,1,1,1,1
West Virginia,Nicholas,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Ohio,0,0,0,2,1,6,6,9,10,11,10,11
West Virginia,Pendleton,0,0,0,0,0,0,0,0,0,0,0,1
West Virginia,Pleasants,0,0,0,0,0,1,1,1,1,1,1,1
West Virginia,Pocahontas,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Preston,0,0,1,2,1,1,1,2,3,3,3,4
West Virginia,Putnam,1,1,1,2,2,3,3,4,4,5,5,5
West Virginia,Raleigh,0,0,0,1,2,3,3,3,3,3,3,3
West Virginia,Randolph,0,0,0,0,0,0,0,1,1,1,2,2
West Virginia,Ritchie,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Roane,0,0,0,0,0,0,0,2,2,2,2,2
West Virginia,Summers,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Taylor,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Tucker,2,2,2,2,2,2,2,2,2,2,3,3
West Virginia,Tyler,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Upshur,0,0,0,0,1,1,1,1,1,1,1,1
West Virginia,Wayne,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Webster,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Wetzel,0,0,0,0,0,0,0,1,1,2,2,2
West Virginia,Wirt,0,0,0,0,0,0,0,1,1,1,1,1
West Virginia,Wood,0,0,1,1,2,2,2,2,2,2,3,5
West Virginia,Wyoming,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Out of WV,0,0,0,0,0,0,0,0,0,0,0,0
West Virginia,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
