Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
Wisconsin,Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Ashland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Barron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Bayfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Buffalo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Wisconsin,Burnett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Calumet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Chippewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Dane,0,0,1,1,1,1,1,2,2,2,3,5,8,9,9
Wisconsin,Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Dunn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Eau Claire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Florence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wisconsin,Fond du Lac,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2
Wisconsin,Forest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
