Province_State,Admin2,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
Wyoming,Albany,0,0,1,1,1,1,1,1,1,3,3,4
Wyoming,Big Horn,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Campbell,1,1,1,1,1,1,1,1,2,4,6,6
Wyoming,Carbon,1,2,3,3,3,3,3,3,3,3,3,3
Wyoming,Converse,0,0,0,0,0,1,1,1,1,2,2,3
Wyoming,Crook,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Fremont,10,10,13,14,17,20,23,24,25,25,26,27
Wyoming,Goshen,0,0,0,0,1,1,1,1,1,1,1,2
Wyoming,Hot Springs,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Johnson,0,0,0,1,4,5,5,5,7,7,8,8
Wyoming,Laramie,6,7,11,14,17,19,19,20,22,29,36,37
Wyoming,Lincoln,0,0,0,0,0,0,0,0,0,0,0,1
Wyoming,Natrona,1,2,4,6,8,8,8,10,12,15,19,21
Wyoming,Niobrara,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Park,1,1,1,1,1,1,1,1,1,1,1,1
Wyoming,Platte,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Sheridan,4,4,4,4,5,6,6,8,10,10,10,10
Wyoming,Sublette,0,0,0,0,0,1,1,1,1,1,1,1
Wyoming,Sweetwater,0,0,1,1,1,1,1,1,2,2,3,3
Wyoming,Teton,2,2,5,7,10,13,14,16,20,26,29,32
Wyoming,Uinta,0,0,0,0,0,0,0,0,0,0,1,1
Wyoming,Washakie,0,0,0,0,1,1,1,1,1,1,1,2
Wyoming,Weston,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Out of WY,0,0,0,0,0,0,0,0,0,0,0,0
Wyoming,Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
