County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Autauga,0,1,4,6,6,6,6,6,7,8,10,12
Baldwin,3,4,4,5,5,10,15,18,19,20,24,28
Barbour,0,0,0,0,0,0,0,0,0,0,0,1
Bibb,0,0,0,0,0,0,0,2,3,3,4,4
Blount,0,0,1,2,4,5,5,5,5,5,6,9
Bullock,0,0,0,2,2,3,3,3,3,3,2,2
Butler,0,0,1,1,1,1,1,1,1,1,1,1
Calhoun,2,2,2,2,3,3,3,8,9,11,12,18
Chambers,2,5,10,13,13,17,27,33,36,42,67,80
Cherokee,0,0,1,1,1,1,2,2,2,2,4,5
Chilton,0,0,1,4,6,7,7,10,11,13,14,15
Choctaw,0,0,0,1,1,1,1,2,3,4,4,4
Clarke,0,0,0,0,0,0,0,0,0,0,2,3
Clay,0,0,1,1,1,2,2,2,2,2,6,8
Cleburne,0,0,1,1,3,4,5,5,5,6,6,7
Coffee,0,0,0,1,0,0,0,0,0,0,1,5
Colbert,0,0,1,1,1,1,2,4,4,4,5,5
Conecuh,0,0,0,0,0,0,0,0,0,0,1,1
Coosa,0,0,0,2,2,2,3,3,4,4,5,6
Covington,0,0,0,0,1,2,2,2,2,3,3,4
Crenshaw,0,0,0,0,1,1,1,1,1,1,1,1
Cullman,2,3,4,6,6,7,7,8,8,9,9,15
Dale,0,0,0,0,0,0,0,0,0,0,1,1
Dallas,0,0,2,2,2,2,2,2,2,2,4,7
DeKalb,0,0,0,1,1,4,4,4,4,5,8,10
Elmore,6,8,9,10,12,12,13,13,13,14,17,19
Escambia,0,0,0,0,0,1,1,1,1,1,2,2
Etowah,0,0,0,4,4,6,6,6,8,10,13,19
Fayette,0,0,0,0,0,0,0,1,1,1,1,1
Franklin,1,1,2,3,3,3,3,3,3,3,4,5
Geneva,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,1,3,3,3,3,4,4,5
Hale,0,0,0,0,0,0,0,1,1,1,1,3
Henry,0,0,0,0,0,0,0,0,0,0,0,2
Houston,1,1,2,3,3,4,6,9,9,8,9,12
Jackson,1,2,2,4,4,5,5,5,8,8,9,12
Jefferson,86,91,129,159,177,195,245,254,270,292,314,351
Lamar,1,1,1,1,1,1,1,1,1,1,1,1
Lauderdale,3,3,6,9,9,12,12,12,12,12,14,14
Lawrence,0,0,0,3,2,3,3,3,3,3,3,4
Lee,19,26,40,47,48,56,59,71,75,81,91,99
Limestone,1,4,6,13,14,16,16,20,22,23,25,30
Lowndes,0,0,0,1,1,1,1,1,1,1,2,2
Macon,0,0,0,0,0,0,1,1,1,1,3,5
Madison,21,21,35,43,47,62,79,91,99,105,114,121
Marengo,0,0,0,1,2,3,5,5,4,4,5,7
Marion,1,1,3,7,7,9,10,10,9,9,11,16
Marshall,0,0,1,3,4,4,5,7,7,6,6,16
Mobile,2,6,10,18,23,29,40,44,52,56,67,103
Monroe,0,0,0,0,0,1,1,1,1,1,3,5
Montgomery,4,9,13,17,18,18,21,22,29,35,45,59
Morgan,0,2,5,9,9,15,17,17,20,19,21,24
Perry,0,0,0,0,0,0,0,0,0,0,0,0
Pickens,0,0,1,1,1,1,2,2,4,4,9,10
Pike,0,0,1,2,2,4,4,4,4,5,7,10
Randolph,0,0,0,0,1,2,2,2,2,5,6,10
Russell,0,0,1,1,1,1,1,1,1,1,2,4
St. Clair,3,4,6,6,9,11,13,13,15,18,19,23
Shelby,22,27,42,52,66,72,79,79,88,88,98,109
Sumter,0,0,0,0,0,0,0,0,1,2,4,7
Talladega,1,2,3,4,4,4,4,5,7,7,8,11
Tallapoosa,1,2,4,4,4,5,8,8,12,13,17,19
Tuscaloosa,9,10,15,19,21,22,23,24,29,30,34,41
Walker,3,5,9,17,23,28,30,30,32,32,34,48
Washington,1,1,1,2,2,2,4,4,3,3,3,5
Wilcox,0,0,1,2,2,2,2,2,3,3,5,6
Winston,0,0,0,0,2,2,2,2,2,2,2,3
Out of AL,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
