County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Autauga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baldwin,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Barbour,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bibb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blount,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bullock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chambers,0,0,0,0,0,0,3,3,4,4,4,5,6,6,7
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Choctaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cleburne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conecuh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crenshaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullman,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Dale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Escambia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Etowah,0,0,0,0,0,0,0,0,0,1,1,2,3,3,3
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geneva,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Houston,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Jackson,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Jefferson,0,0,0,0,0,0,0,0,0,4,4,6,9,9,10
Lamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,2,2,2,2,2,3,3,3,3
Limestone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowndes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,1,1,1,1,1,1,1,1,1,1,2
Marengo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,2,2,2,2,2,2
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Mobile,0,0,0,0,1,1,1,1,1,3,3,5,5,6,6
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,2,3,3,4,5,5,5
Sumter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talladega,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tallapoosa,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Tuscaloosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Wilcox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of AL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,8,0,5,0,0,0,0
