County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Apache,4,4,7,9,11,13,13,17,16,33,35,39
Cochise,1,1,1,2,2,3,3,4,4,4,4,5
Coconino,17,18,23,28,41,56,62,71,81,117,146,175
Gila,0,0,0,0,0,1,1,1,1,1,2,2
Graham,2,2,2,2,4,2,2,2,2,2,2,2
Greenlee,0,0,0,0,0,0,0,1,1,1,1,1
La Paz,0,0,0,2,2,2,2,2,2,2,2,2
Maricopa,139,199,251,299,399,454,545,690,788,871,961,1049
Mohave,0,0,0,2,4,5,6,7,7,7,8,9
Navajo,25,32,37,43,49,57,62,88,91,171,198,245
Pima,24,42,49,75,102,120,153,187,202,217,237,280
Pinal,17,22,23,35,36,41,51,64,62,65,69,77
Santa Cruz,1,1,1,2,2,2,2,2,2,3,3,3
Yavapai,3,3,4,5,9,13,12,15,21,24,34,35
Yuma,2,2,3,4,4,4,5,6,9,12,13,13
Out of AZ,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0
