County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Apache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cochise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coconino,0,0,1,1,2,2,2,2,2,2,5,5,10,10,10
Gila,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenlee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Paz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maricopa,2,2,2,2,5,5,5,5,5,5,12,12,28,31,31
Mohave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Navajo,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Pima,0,1,1,1,4,4,4,4,4,4,11,11,11,12,13
Pinal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Santa Cruz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yavapai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of AZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,2,2,4,2,4,6,9,13,18,3,12,2,10,10
