County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Arkansas,0,0,0,0,0,0,0,1,1,1,1,1
Ashley,0,0,0,0,0,0,1,1,1,1,1,1
Baxter,0,0,0,0,0,1,1,1,1,1,1,1
Benton,1,1,1,18,23,28,31,35,38,39,40,42
Boone,1,1,1,1,1,1,1,1,1,1,1,1
Bradley,4,4,4,4,4,4,4,4,4,4,4,4
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,1,1
Chicot,0,0,0,0,1,1,1,1,1,2,2,2
Clark,7,6,12,15,17,18,17,21,24,24,26,27
Clay,0,0,0,0,0,0,0,0,0,0,0,0
Cleburne,27,32,40,47,49,50,50,56,61,62,63,64
Cleveland,3,3,3,3,3,5,5,5,5,5,5,5
Columbia,1,1,1,1,1,1,1,1,1,1,1,1
Conway,1,1,1,1,1,1,1,1,1,1,1,1
Craighead,4,4,4,4,4,4,6,6,8,11,12,14
Crawford,1,1,1,1,1,1,1,1,1,1,1,1
Crittenden,1,1,6,7,9,14,17,17,17,29,32,37
Cross,0,1,1,1,1,1,1,1,1,1,1,1
Dallas,0,0,0,0,0,0,0,0,0,0,0,0
Desha,2,2,2,2,2,2,2,2,2,2,2,2
Drew,0,0,0,1,1,1,1,1,1,1,1,1
Faulkner,10,14,23,24,27,29,30,30,36,36,37,40
Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Garland,9,10,16,18,20,20,25,26,31,32,37,37
Grant,3,3,3,3,3,3,3,3,3,3,3,3
Greene,1,1,1,1,1,1,1,1,1,1,1,1
Hempstead,0,1,1,1,1,0,0,1,1,1,1,1
Hot Spring,0,0,1,1,1,1,1,1,1,1,5,5
Howard,0,0,0,0,0,1,1,1,1,1,1,1
Independence,3,3,3,3,3,3,3,3,3,3,3,3
Izard,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,21,21,22,23,23,25,25,26,33,42,49,51
Johnson,0,0,0,0,0,1,1,1,1,1,6,7
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0
Lawrence,1,1,0,1,1,1,1,1,1,1,1,1
Lee,0,0,0,0,0,0,0,0,0,0,1,1
Lincoln,2,2,2,5,5,6,6,6,6,6,6,6
Little River,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0
Lonoke,0,0,0,1,1,1,1,1,1,6,7,15
Madison,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0
Miller,0,0,0,0,0,0,0,0,0,1,7,8
Mississippi,0,0,0,0,0,0,0,0,0,0,0,1
Monroe,0,0,0,0,0,0,0,0,0,0,0,1
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0
Nevada,0,0,0,0,0,0,1,1,1,1,1,1
Newton,0,0,0,0,0,0,0,0,1,1,1,1
Ouachita,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,1,1,1,1,1
Phillips,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,1,1,1,1,1,1,1,1,1,1,1
Poinsett,3,3,3,3,3,3,3,3,5,5,5,5
Polk,1,1,1,1,1,1,1,1,1,1,5,5
Pope,1,1,1,1,1,1,1,1,5,6,6,8
Prairie,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,61,64,78,83,88,92,93,94,102,107,115,130
Randolph,0,0,0,1,1,1,1,1,1,1,1,1
St. Francis,0,0,0,0,0,0,0,0,1,1,1,1
Saline,4,4,4,4,4,4,6,6,10,13,16,19
Scott,0,0,0,0,0,0,0,0,0,1,1,1
Searcy,2,2,2,2,2,2,2,2,2,2,2,2
Sebastian,1,1,2,2,2,2,2,5,7,8,8,8
Sevier,1,1,1,1,1,1,1,1,1,1,1,1
Sharp,0,0,0,0,0,0,0,0,0,0,0,0
Stone,1,1,1,1,1,1,1,1,5,5,5,5
Union,1,1,1,1,1,5,5,7,8,9,10,10
Van Buren,3,5,8,11,16,17,17,20,19,20,20,20
Washington,5,5,6,10,13,14,14,15,19,22,23,24
White,1,1,1,1,6,6,6,6,10,11,15,23
Woodruff,1,1,1,1,1,1,1,1,1,1,1,1
Yell,0,0,0,0,0,0,0,0,0,0,0,0
Out of AR,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,3,13,20,24,35,32,31,49,34,44,43,47
