County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Alameda,118,135,135,178,220,220,270,283,313,313,359,443
Alpine,0,0,0,0,0,0,0,0,0,1,1,1
Amador,1,2,2,2,2,2,2,2,2,2,3,3
Butte,2,2,4,5,5,5,5,5,8,8,9,10
Calaveras,2,2,2,3,3,3,3,3,3,3,3,3
Colusa,0,0,0,0,0,1,1,1,1,1,1,1
Contra Costa,71,86,108,131,147,168,168,187,212,249,250,307
Del Norte,0,0,0,0,0,0,0,0,0,0,0,1
El Dorado,2,2,3,3,9,12,12,12,15,18,18,19
Fresno,6,13,18,19,27,31,43,43,53,68,82,94
Glenn,0,0,0,0,0,0,1,1,2,2,2,2
Humboldt,2,4,5,10,12,14,18,18,21,27,28,37
Imperial,6,6,9,9,17,21,25,25,33,38,43,52
Inyo,0,0,1,2,3,5,8,8,8,9,9,10
Kern,12,13,15,29,33,47,51,60,83,110,142,173
Kings,0,0,0,0,0,2,2,2,3,4,5,5
Lake,0,0,0,0,0,0,0,0,0,0,0,0
Lassen,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles,536,662,812,1229,1465,1465,1829,2474,3019,3518,4045,4566
Madera,3,6,6,7,10,11,15,18,21,23,25,28
Marin,38,47,53,60,65,68,74,93,99,107,108,118
Mariposa,0,0,0,0,0,0,0,0,0,0,0,0
Mendocino,1,2,2,2,2,2,3,4,4,4,4,4
Merced,1,1,2,2,4,7,8,9,10,10,12,16
Modoc,0,0,0,0,0,0,0,0,0,0,0,0
Mono,1,1,4,4,6,8,11,13,13,13,18,18
Monterey,14,20,24,24,24,32,36,36,40,42,48,53
Napa,2,2,2,6,6,9,10,14,14,15,18,18
Nevada,2,3,4,7,8,12,12,17,21,26,26,30
Orange,125,152,187,256,321,403,431,464,502,606,656,711
Placer,12,20,30,30,30,41,53,53,57,78,90,97
Plumas,0,0,0,0,0,0,0,0,0,1,1,1
Riverside,46,57,68,105,149,183,195,291,371,371,493,493
Sacramento,88,88,113,113,164,164,164,224,224,224,314,390
San Benito,6,6,7,9,13,14,14,14,17,21,23,23
San Bernardino,17,31,38,54,54,76,76,111,125,183,254,304
San Diego,201,226,238,293,341,413,484,515,603,733,849,966
San Francisco,131,152,178,223,279,308,340,374,397,434,450,497
San Joaquin,41,51,68,71,90,93,113,123,136,151,173,180
San Luis Obispo,27,42,46,54,59,67,67,71,80,80,89,93
San Mateo,142,161,165,195,239,274,277,309,309,388,453,486
Santa Barbara,18,18,24,26,32,47,64,68,88,99,111,139
Santa Clara,302,375,459,542,574,591,646,848,890,956,1019,1019
Santa Cruz,22,22,24,25,32,34,41,44,45,49,54,57
Shasta,2,2,3,3,3,3,4,4,6,7,7,11
Sierra,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,2,2,3,3,3,3,3,4,3,3,3,3
Solano,14,21,24,31,34,34,34,34,43,49,54,61
Sonoma,29,29,34,37,44,50,58,58,73,78,91,95
Stanislaus,8,11,12,13,17,23,29,31,33,39,44,51
Sutter,0,0,0,2,2,3,6,6,9,10,14,14
Tehama,0,0,0,0,0,0,0,0,0,0,0,0
Trinity,0,0,0,0,0,0,0,0,0,0,0,0
Tulare,16,17,17,18,20,24,29,35,43,45,74,81
Tuolumne,0,0,0,0,0,0,0,0,2,2,2,2
Ventura,30,35,39,50,61,83,98,109,126,149,160,177
Yolo,6,8,10,11,13,16,16,16,24,25,28,33
Yuba,3,3,0,3,3,3,3,4,6,7,8,8
Out of CA,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,12,0,0,0,0,0,0,0
