County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Alameda,1,2,2,4,4,4,6,7,7,7,8,12,12,12,13
Alpine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calaveras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colusa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Contra Costa,1,1,1,1,1,2,3,3,3,3,3,3,5,6,7
Del Norte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
El Dorado,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fresno,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Glenn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imperial,0,0,0,0,0,0,0,0,0,0,1,1,1,2,3
Inyo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kern,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
Kings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lassen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Los Angeles,7,11,13,21,26,26,32,44,54,64,78,89,93,132,147
Madera,0,0,0,0,0,1,1,1,1,1,1,1,1,2,2
Marin,0,0,0,0,0,1,1,1,4,4,6,6,6,7,7
Mariposa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mendocino,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Merced,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Modoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mono,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Monterey,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
Napa,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
Nevada,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Orange,0,0,1,1,3,4,4,4,7,10,13,13,14,14,14
Placer,1,1,1,1,1,1,2,2,2,2,2,2,2,3,3
Plumas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riverside,6,6,7,8,8,8,8,9,13,13,14,14,15,19,25
Sacramento,4,4,5,5,6,6,6,7,7,7,9,10,10,16,18
San Benito,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2
San Bernardino,0,0,1,2,3,3,3,3,4,6,6,8,13,13,13
San Diego,1,1,2,3,3,6,7,7,7,9,15,16,17,18,19
San Francisco,0,0,1,2,3,4,4,6,6,7,7,7,8,8,9
San Joaquin,2,2,3,3,3,4,4,6,6,8,9,9,11,11,11
San Luis Obispo,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
San Mateo,1,1,5,5,6,6,6,6,10,10,10,13,13,13,13
Santa Barbara,0,0,0,0,0,0,0,0,0,0,1,1,1,1,2
Santa Clara,10,16,17,19,20,25,25,28,30,32,36,36,39,39,39
Santa Cruz,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Shasta,0,0,1,1,1,1,1,1,1,1,1,1,2,2,3
Sierra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Siskiyou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Solano,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Sonoma,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Stanislaus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sutter,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2
Tehama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trinity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tulare,0,0,0,0,0,0,1,1,1,1,2,2,3,5,6
Tuolumne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ventura,1,1,1,1,1,3,3,4,4,5,5,6,6,6,6
Yolo,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Yuba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of CA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0
