County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,2,2,2,7,9,10,12
Alamosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arapahoe,0,0,0,0,0,1,3,3,6,6,7,10,10,13,15
Archuleta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boulder,0,0,0,0,0,1,1,1,2,2,2,2,2,3,3
Broomfield,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2
Chaffee,0,0,0,0,0,1,1,1,1,1,1,2,2,2,2
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clear Creek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Conejos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Costilla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crowley,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Denver,0,0,3,3,3,3,5,5,7,7,8,11,14,16,15
Dolores,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,1,2,3,3
Eagle,1,1,1,1,1,1,2,2,4,4,4,4,5,5,5
Elbert,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
El Paso,3,4,5,5,5,7,11,11,13,13,14,16,18,25,28
Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Gilpin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gunnison,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Hinsdale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huerfano,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,2,2,2,5,5,5,6,6,7,9,13,17,18
Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kit Carson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
La Plata,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Larimer,0,0,0,1,1,1,3,3,6,6,7,7,7,8,8
Las Animas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mesa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moffat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montezuma,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Montrose,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otero,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ouray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pitkin,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Prowers,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pueblo,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
Rio Blanco,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rio Grande,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Routt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saguache,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Juan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
San Miguel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedgwick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Summit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teller,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Weld,2,2,4,4,4,6,9,9,12,12,13,16,16,24,26
Yuma,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of CO,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Unassigned,0,0,0,0,8,1,1,1,1,1,4,0,0,0,0
