County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Fairfield,6,7,12,13,15,20,21,21,38,46,65,75,86,96,101
Hartford,2,2,2,2,2,2,2,3,7,11,13,18,26,29,31
Litchfield,0,0,0,0,0,0,0,1,1,1,2,4,5,6,8
Middlesex,0,0,0,1,1,1,1,1,1,2,3,2,4,5,7
New Haven,0,0,2,2,6,6,6,6,12,15,17,18,29,36,41
New London,0,0,0,0,0,0,0,0,1,1,1,3,3,4,4
Tolland,2,3,3,3,3,4,4,4,7,7,10,10,10,11,13
Windham,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Out of CT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,2,2,1,1,1,1,0
