County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Alachua,36,37,45,49,57,67,71,79,87,90,95,110
Baker,3,4,5,5,7,7,7,8,9,9,11,11
Bay,1,1,1,3,3,5,6,6,8,10,15,18
Bradford,1,1,1,1,1,1,1,2,2,3,5,5
Brevard,7,9,11,13,16,26,28,31,37,38,49,62
Broward,263,311,355,504,614,814,838,1152,1219,1232,1481,1598
Calhoun,0,0,0,0,0,0,0,0,1,1,1,2
Charlotte,3,3,3,3,5,12,16,18,24,24,38,43
Citrus,9,9,9,11,11,14,15,17,19,19,27,28
Clay,8,10,13,19,22,24,30,35,41,46,58,69
Collier,39,41,47,65,81,92,95,119,146,150,178,203
Columbia,2,3,3,3,3,3,3,3,3,3,4,4
DeSoto,1,1,1,5,6,7,7,7,7,7,8,9
Dixie,0,0,0,0,0,0,0,0,0,0,0,0
Duval,50,50,56,74,90,115,125,158,207,218,286,323
Escambia,9,10,14,19,22,28,30,42,94,94,101,113
Flagler,3,4,5,7,11,13,13,13,18,20,25,28
Franklin,0,0,0,0,0,0,0,0,0,0,0,1
Gadsden,1,1,1,1,1,1,1,1,1,1,2,3
Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0
Glades,0,0,0,0,0,0,0,3,3,3,3,3
Gulf,0,0,0,0,0,0,0,0,0,1,1,1
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Hardee,0,0,0,0,0,0,0,0,0,0,1,1
Hendry,0,0,0,0,0,0,1,3,4,4,4,5
Hernando,5,5,8,9,10,13,14,21,24,24,34,38
Highlands,2,4,4,5,5,10,10,13,17,17,24,26
Hillsborough,75,91,106,142,167,195,218,253,305,309,404,463
Holmes,0,0,0,0,0,0,0,0,1,1,1,1
Indian River,10,11,12,13,14,16,17,24,33,33,41,47
Jackson,1,1,1,1,1,1,1,2,2,2,4,4
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0
Lake,9,14,18,25,29,35,38,47,66,67,82,88
Lee,30,32,42,56,76,101,124,164,206,212,275,304
Leon,6,8,8,9,14,16,18,21,26,28,35,39
Levy,0,0,0,0,0,1,2,2,2,2,2,2
Liberty,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,2,4
Manatee,15,16,22,26,28,30,33,39,53,58,89,104
Marion,4,4,5,5,8,17,20,23,25,28,33,38
Martin,4,4,4,8,16,25,26,27,28,29,34,42
Miami-Dade,278,338,400,616,763,1003,1192,1632,2123,2202,2886,3364
Monroe,2,3,8,12,16,20,22,24,27,27,38,40
Nassau,1,1,1,5,6,6,7,8,10,11,16,19
Okaloosa,14,14,16,21,23,27,31,35,39,39,51,54
Okeechobee,0,0,0,0,0,0,0,0,0,0,1,2
Orange,48,50,77,110,156,206,246,293,373,392,541,602
Osceola,25,26,35,42,53,66,83,94,110,115,170,201
Palm Beach,89,101,118,169,194,292,333,423,551,567,737,858
Pasco,14,15,17,19,23,28,34,38,40,43,66,77
Pinellas,41,45,50,64,77,94,113,126,167,170,273,318
Polk,13,13,14,17,26,34,39,55,73,76,103,126
Putnam,2,2,4,12,12,12,12,13,13,13,14,15
St. Johns,18,22,26,33,36,48,50,60,79,83,102,119
St. Lucie,5,6,8,10,14,21,23,29,38,40,48,60
Santa Rosa,4,4,7,9,11,14,20,30,44,44,47,48
Sarasota,21,26,27,34,40,48,50,61,76,82,110,124
Seminole,22,23,29,37,49,61,76,87,103,109,145,163
Sumter,8,10,13,24,29,33,43,46,51,52,66,68
Suwannee,0,0,0,0,1,1,1,3,3,4,7,11
Taylor,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,1,1,1,1
Volusia,16,18,20,29,39,44,47,65,80,80,102,125
Wakulla,0,0,0,0,0,0,0,1,1,1,2,3
Walton,9,10,12,13,13,15,15,15,18,18,19,19
Washington,0,0,0,0,1,1,1,1,1,1,1,1
Out of FL,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,1,2,3,9,10
