County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Alachua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Bradford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brevard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broward,3,3,3,3,5,10,11,11,12,12,17,22,31,40,46
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlotte,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Citrus,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2
Clay,2,2,2,4,4,4,4,4,5,5,6,6,6,6,6
Collier,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSoto,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Dixie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Duval,1,1,3,3,3,3,3,3,4,4,9,9,9,9,9
Escambia,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Flagler,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gadsden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gilchrist,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glades,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Gulf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hendry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hernando,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Highlands,0,0,0,0,1,1,1,1,1,1,1,2,2,2,2
Hillsborough,0,0,0,1,1,2,2,2,3,3,5,5,5,5,5
Holmes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Indian River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Lee,2,2,3,3,4,5,6,6,8,8,10,11,11,11,12
Leon,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0
Levy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Manatee,1,1,1,1,1,1,1,1,2,2,3,3,3,3,3
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami-Dade,0,0,0,0,1,2,3,3,7,7,20,25,31,31,37
Monroe,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2
Nassau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Okaloosa,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Okeechobee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,2,2,2,4,4,4,4,4,4,4,5,6,8,8,8
Osceola,0,0,0,0,0,0,0,0,1,1,4,4,4,4,4
Palm Beach,3,3,3,3,3,5,5,7,14,14,27,29,35,49,49
Pasco,1,1,0,1,1,1,2,2,2,2,2,2,2,2,2
Pinellas,0,0,1,1,1,1,4,5,5,5,6,7,7,8,8
Polk,0,0,0,0,0,0,0,0,1,1,2,2,4,4,4
Putnam,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
St. Johns,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
St. Lucie,0,0,0,0,1,1,1,2,2,2,3,3,3,3,4
Santa Rosa,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Sarasota,0,0,2,1,2,2,2,2,3,3,7,7,7,7,7
Seminole,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Sumter,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3
Suwannee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Volusia,0,0,0,0,0,0,1,1,1,1,1,1,2,2,2
Wakulla,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of FL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,1,1,0,0,0,8,2,4,0,2,20,7,1,0,1
