County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Appling,0,0,1,0,0,0,0,0,2,1,3,3
Atkinson,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,0,0,0,0,0,0,1,1,2,6,6,6
Baker,0,2,3,1,1,1,1,1,4,4,4,4
Baldwin,2,2,2,2,2,2,2,3,4,6,7,10
Banks,0,0,0,0,0,0,0,1,3,3,3,3
Barrow,1,1,2,4,6,7,7,7,18,20,20,21
Bartow,61,74,78,86,98,116,119,121,131,144,147,154
Ben Hill,0,1,1,1,2,2,2,2,3,3,3,3
Berrien,0,0,0,0,0,0,0,1,1,2,3,3
Bibb,2,4,6,8,10,11,13,15,20,22,24,32
Bleckley,0,0,0,0,0,0,0,0,1,1,1,1
Brantley,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,1,1,2,2,3,5
Bryan,0,2,2,3,4,6,7,7,7,8,10,12
Bulloch,0,0,0,0,0,0,1,1,2,2,3,5
Burke,0,1,1,1,3,3,4,4,8,8,8,8
Butts,2,2,2,3,3,5,5,5,6,8,9,9
Calhoun,0,0,0,0,2,2,3,5,9,10,10,10
Camden,0,1,1,2,2,2,2,3,4,4,6,6
Candler,0,0,0,0,0,0,1,1,1,1,1,1
Carroll,21,26,27,50,55,64,64,81,123,131,133,143
Catoosa,1,1,1,1,1,1,3,3,3,4,4,6
Charlton,1,1,1,1,1,1,1,1,1,1,1,1
Chatham,4,7,7,9,10,15,15,16,26,36,44,58
Chattahoochee,0,0,0,0,0,1,1,1,1,2,2,2
Chattooga,1,1,1,1,1,1,1,1,3,3,3,3
Cherokee,20,28,31,38,46,52,56,61,76,83,92,104
Clarke,14,16,19,24,32,35,35,41,50,51,54,57
Clay,0,0,0,0,0,0,0,0,4,5,5,7
Clayton,18,21,22,32,46,57,59,61,104,122,148,195
Clinch,1,1,1,1,1,1,1,1,1,1,2,2
Cobb,79,86,101,115,144,181,222,245,279,293,329,381
Coffee,1,2,2,2,3,3,8,10,11,9,9,15
