County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Appling,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atkinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bacon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baker,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Baldwin,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Banks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barrow,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
Bartow,1,1,1,1,1,1,1,1,2,4,4,3,7,7,7
Ben Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berrien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bibb,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Bleckley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brantley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bryan,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Bulloch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Burke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butts,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Camden,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Candler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,1,1,2,2,2,2,2
Catoosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Charlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chatham,0,0,0,0,0,0,0,0,2,2,2,3,3,3,3
Chattahoochee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chattooga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,0,0,0,0,1,1,1,2,4,4,5,5,5,5
Clarke,0,0,1,1,1,2,2,5,5,5,7,8,8,8,8
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,0,0,0,0,0,1,1,1,3,3,5,6,9,9,9
Clinch,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cobb,2,2,2,2,2,8,9,9,12,15,17,18,20,23,25
Coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colquitt,0,0,0,0,0,0,0,0,1,1,1,2,3,3,3
Columbia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coweta,0,0,0,0,0,2,2,2,2,2,2,2,2,2,2
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crisp,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dade,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,2,3,3,3,4,6,8,8,9,10
Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dooly,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Dougherty,6,6,6,6,12,13,17,17,18,27,29,30,30,30,31
Douglas,0,0,0,0,0,1,1,1,1,2,3,4,4,5,5
Early,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Echols,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Elbert,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Emanuel,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evans,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fannin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,1,1,1,1,1,2,3,3,4,4,4,4,4,4,4
Floyd,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3
Forsyth,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,2,2,2,2,2,12,13,14,17,19,22,23,26,27,28
Gilmer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glascock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glynn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gordon,0,0,0,0,0,1,1,1,2,1,1,2,2,2,2
Grady,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gwinnett,1,1,1,1,1,1,1,1,2,4,6,8,8,8,10
Habersham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haralson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hart,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heard,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Henry,0,0,0,0,0,1,1,2,2,2,2,3,3,3,3
Houston,0,0,0,0,0,1,1,1,2,4,5,5,5,6,6
Irwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jenkins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lanier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laurens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,5,6,6,6,7,7,8,8,8,9
Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Long,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowndes,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Lumpkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDuffie,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
McIntosh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meriwether,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Murray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muscogee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newton,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2
Oconee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oglethorpe,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Paulding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peach,0,0,0,0,0,0,0,1,1,1,1,1,1,1,2
Pickens,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
Pierce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rabun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
