County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Ada,13,19,24,39,54,76,92,113,195,195,312,307
Adams,0,0,0,0,0,0,0,0,0,0,1,1
Bannock,2,2,2,3,2,3,3,3,4,4,4,4
Bear Lake,0,0,0,0,0,0,0,0,0,0,0,0
Benewah,0,0,0,0,0,0,0,0,0,0,0,0
Bingham,2,2,2,2,1,1,1,1,2,2,2,2
Blaine,35,36,40,66,93,99,114,130,192,228,256,351
Boise,0,0,0,0,0,0,0,0,0,0,0,0
Bonner,0,0,0,0,0,0,1,1,1,1,1,1
Bonneville,0,0,0,0,0,1,1,2,2,2,2,3
Boundary,0,0,0,0,0,0,0,0,0,0,0,0
Butte,0,0,0,0,0,0,0,0,0,0,0,0
Camas,0,0,0,0,0,0,0,0,1,1,1,1
Canyon,3,5,5,13,23,23,22,40,48,53,68,79
Caribou,0,0,0,0,0,0,0,0,0,0,0,0
Cassia,1,1,1,1,1,1,1,1,1,1,1,3
Clark,0,0,0,0,0,0,0,0,0,0,0,0
Clearwater,0,0,0,0,0,0,0,0,0,0,0,0
Custer,0,0,0,1,1,1,1,1,1,2,2,2
Elmore,0,0,0,0,0,0,0,0,1,3,3,9
Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,0,0,0,1,1,1,1,1,1,1,1,1
Gem,0,0,0,0,0,1,1,3,4,5,4,6
Gooding,0,0,0,0,0,0,0,0,0,0,1,1
Idaho,0,0,0,1,1,1,1,1,1,2,2,1
Jefferson,0,2,2,2,2,2,2,2,2,3,3,3
Jerome,0,0,0,0,0,0,0,0,2,2,7,8
Kootenai,6,8,8,9,10,11,26,26,29,30,31,37
Latah,0,0,0,0,0,0,0,0,0,1,1,1
Lemhi,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,1
Lincoln,0,0,0,0,0,1,1,1,2,3,5,5
Madison,2,2,2,2,2,2,2,2,5,4,4,4
Minidoka,0,0,0,0,0,0,0,0,1,1,1,1
Nez Perce,0,0,1,1,4,4,4,4,9,9,14,13
Oneida,0,0,0,0,0,0,0,0,0,0,0,0
Owyhee,0,0,0,0,0,0,1,1,1,1,1,2
Payette,0,0,0,1,4,1,1,1,1,1,3,5
Power,0,0,0,0,0,0,0,0,0,0,0,0
Shoshone,0,0,0,0,0,0,0,0,0,0,0,0
Teton,2,2,2,2,2,2,2,2,2,2,3,3
Twin Falls,1,1,1,1,3,2,2,3,5,7,31,32
Valley,1,1,1,1,1,1,1,1,2,2,2,3
Washington,0,0,0,0,0,0,0,0,0,0,0,1
Out of ID,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,9,0
