County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Ada,0,0,0,0,0,0,1,2,3,3,3,3,3,3,3
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bannock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bear Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benewah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,0,0,0,2,2,2,2,2,2,2,2,2,2,2,2
Boise,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bonneville,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boundary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Camas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Canyon,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Caribou,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cassia,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gem,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gooding,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Idaho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jerome,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kootenai,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Latah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lemhi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Minidoka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nez Perce,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2
Oneida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Owyhee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Payette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shoshone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Twin Falls,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of ID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
