County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,1,1,1,1,1,1,2,2,2,2,2,2
Alexander,0,0,0,0,0,0,0,0,0,0,0,0
Bond,0,0,0,0,0,0,1,1,2,2,3,3
Boone,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0
Bureau,0,0,0,0,1,1,1,1,1,2,2,2
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,1,1,1,2,3,4,4
Cass,0,0,0,0,0,0,0,0,0,0,0,0
Champaign,3,4,4,10,10,11,21,23,26,33,43,51
Christian,1,1,1,1,1,1,6,12,13,14,15,17
Clark,0,0,0,0,0,0,0,1,1,1,2,2
Clay,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,3,3,4,4,5,5,6,6,7,8,8,8
Coles,0,0,0,0,0,0,0,0,0,0,0,0
Cook,922,1194,1418,1418,2239,2613,3445,3727,4496,5152,5575,6111
Crawford,0,0,0,0,0,0,0,1,1,1,1,1
Cumberland,1,1,1,1,1,1,1,1,1,1,1,1
DeKalb,1,1,1,1,4,4,8,4,9,14,16,16
De Witt,0,0,0,0,0,0,0,0,0,0,0,1
Douglas,0,0,1,1,1,1,1,1,3,8,8,9
DuPage,95,103,131,131,199,202,274,320,356,392,448,500
Edgar,0,0,0,0,0,0,0,0,0,0,0,0
Edwards,0,0,0,0,0,0,0,0,0,0,0,0
Effingham,0,0,0,0,0,0,0,0,0,0,0,1
Fayette,0,0,0,0,0,1,1,1,1,2,2,2
Ford,0,0,0,0,0,0,0,0,1,1,1,1
Franklin,0,0,0,0,1,1,2,1,1,1,1,1
Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0
Grundy,0,1,1,1,2,2,3,3,4,4,5,7
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,1,2,2,2,2,3,4,7
Iroquois,0,0,0,0,1,1,2,1,2,2,2,4
Jackson,1,1,1,1,1,2,3,3,4,4,6,8
Jasper,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0,0,1
Jo Daviess,1,1,1,1,1,1,1,1,1,3,3,4
Johnson,0,0,0,0,0,0,0,0,0,0,0,0
Kane,18,24,38,38,75,90,100,113,128,142,154,176
Kankakee,3,4,6,6,17,27,33,33,42,51,55,58
Kendall,4,4,6,6,8,11,15,18,19,27,36,37
Knox,0,0,0,0,0,0,1,1,1,1,1,1
Lake,96,111,139,139,230,241,300,343,389,477,540,608
LaSalle,2,3,3,3,0,3,4,5,5,6,6,6
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,1,1,1,1,2,2,2,2,3,5,5,6
Logan,0,0,1,1,0,0,0,0,0,0,1,1
McDonough,0,0,0,0,0,0,0,0,0,0,0,0
McHenry,12,14,19,19,45,47,52,52,63,69,81,102
McLean,7,7,7,8,10,10,14,17,19,18,32,35
Macon,0,0,0,0,0,1,2,2,2,2,2,2
Macoupin,0,0,0,0,0,0,0,0,0,0,1,1
Madison,2,2,3,3,8,10,12,13,16,25,29,31
Marion,0,0,0,0,0,0,0,2,2,2,2,3
Marshall,0,0,1,1,1,1,1,1,1,1,1,1
Mason,0,0,0,0,0,0,0,0,0,0,0,0
Massac,0,0,0,0,0,0,0,0,0,0,1,1
Menard,0,0,0,0,0,0,1,1,1,0,1,1
Mercer,0,0,0,0,0,0,0,0,0,0,1,1
Monroe,1,1,2,2,3,3,3,3,3,3,4,8
Montgomery,0,0,0,0,0,0,1,1,2,2,2,2
Morgan,0,0,0,0,1,1,3,4,4,5,5,5
Moultrie,0,0,0,0,0,0,0,0,0,0,1,1
Ogle,0,0,0,0,0,0,0,0,0,1,1,1
Peoria,3,3,4,4,6,7,8,8,8,10,11,11
Perry,0,0,0,0,0,0,0,0,0,0,0,0
Piatt,0,0,0,0,0,0,0,0,0,0,1,1
Pike,0,0,0,0,0,0,0,0,0,0,0,0
Pope,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,2,3,7,8,12
Richland,0,0,0,0,0,0,0,0,0,0,0,0
Rock Island,1,1,3,3,4,4,5,8,11,17,21,24
St. Clair,4,7,7,7,15,18,31,36,43,53,55,57
Saline,0,0,0,0,0,0,0,1,1,1,1,1
Sangamon,4,5,5,5,7,8,9,12,14,17,18,20
Schuyler,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,0,0,0,0
Stark,0,0,0,0,0,0,0,0,0,0,0,0
Stephenson,1,1,1,1,2,2,3,3,3,3,3,3
Tazewell,0,0,0,0,2,3,4,4,4,4,5,7
Union,0,0,0,0,0,0,0,0,0,0,0,0
Vermilion,0,0,0,0,0,0,0,0,0,0,2,2
Wabash,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1,1,1,1,1,1,1,1,1,1,1,1
Wayne,0,0,0,0,0,0,0,0,0,0,0,0
White,0,0,0,0,0,0,0,0,0,0,0,0
Whiteside,1,1,1,1,2,2,3,4,5,5,6,9
Will,24,28,40,40,104,127,182,223,228,322,384,455
Williamson,1,0,0,0,1,1,1,1,1,1,1,2
Winnebago,5,5,7,7,8,9,12,13,15,18,24,28
Woodford,2,3,3,3,3,3,4,3,3,3,3,4
Out of IL,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,63,0,2,668,0,8,8,13,18,28,37,415
