County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alexander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bond,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bureau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Champaign,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coles,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook,9,9,14,18,20,28,40,44,61,95,107,141,167,186,209
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
De Witt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DuPage,0,0,0,1,6,6,7,8,10,12,14,16,18,22,22
Edgar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Effingham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iroquois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jersey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jo Daviess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kane,0,0,1,1,2,4,6,6,7,8,8,9,12,15,15
Kankakee,0,0,0,0,0,0,0,0,0,0,0,2,3,4,4
Kendall,0,0,0,0,0,0,1,2,2,2,2,2,2,2,2
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,1,1,1,2,3,8,13,13,13,15
LaSalle,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDonough,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McHenry,0,0,0,1,1,2,2,2,2,2,3,3,3,3,3
McLean,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macoupin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Menard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Morgan,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Moultrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Peoria,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piatt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pope,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rock Island,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Clair,0,0,0,0,0,0,2,2,2,2,2,2,2,2,2
Saline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sangamon,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Schuyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stephenson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tazewell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermilion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whiteside,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Will,1,1,2,3,3,4,4,5,8,9,9,10,11,13,19
Williamson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Woodford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of IL,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,4,0,0,0,0,0,0,0,0,0,1,1,0,1
