County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,1,1,1,1,1,1,1,1,1,1,1,1
Allen,4,7,7,8,21,23,26,28,30,39,46,58
Bartholomew,5,5,5,6,6,7,10,10,13,13,15,23
Benton,0,0,0,0,0,0,0,0,0,1,0,0
Blackford,0,0,0,0,0,0,0,0,0,0,1,1
Boone,3,3,4,7,7,8,13,20,22,29,32,38
Brown,0,1,1,1,2,2,3,3,3,3,3,3
Carroll,0,0,0,0,0,1,1,2,2,2,2,2
Cass,0,0,0,0,0,0,0,1,1,1,2,2
Clark,4,5,6,10,12,18,20,27,33,38,49,55
Clay,0,0,0,0,0,0,1,1,1,1,1,2
Clinton,0,0,0,0,1,1,1,1,1,1,1,3
Crawford,0,0,0,0,0,1,1,1,1,1,1,3
Daviess,0,0,0,0,0,0,0,0,0,0,0,0
Dearborn,0,2,2,3,4,8,10,10,14,17,22,25
Decatur,0,6,7,13,26,30,40,42,47,48,59,70
DeKalb,0,0,1,1,1,1,1,1,1,2,2,3
Delaware,2,4,7,7,8,8,14,15,18,22,25,30
Dubois,1,1,1,1,1,1,2,2,3,3,3,3
Elkhart,4,4,5,7,9,11,12,12,20,23,27,29
Fayette,1,2,3,3,3,4,5,8,9,10,11,13
Floyd,3,6,6,7,11,13,14,20,21,21,34,37
Fountain,0,0,0,1,1,1,1,1,1,1,2,2
Franklin,4,7,7,13,21,23,26,28,35,39,45,48
Fulton,0,0,0,0,1,1,1,1,1,1,1,1
Gibson,0,2,2,3,3,4,4,4,4,4,4,4
Grant,2,3,3,3,5,5,7,7,7,9,11,12
Greene,1,1,0,0,0,0,1,1,2,3,8,9
Hamilton,18,25,30,40,52,64,83,106,127,179,207,220
Hancock,2,4,8,9,13,19,22,28,26,33,37,41
Harrison,0,0,2,2,4,7,14,15,15,15,18,23
Hendricks,8,13,15,21,28,36,48,58,70,91,116,138
Henry,0,0,0,0,1,1,2,2,1,4,6,7
Howard,6,6,6,6,7,9,12,14,16,20,24,25
Huntington,0,0,0,0,1,1,1,2,2,2,3,3
Jackson,0,1,1,2,4,7,7,8,8,10,19,25
Jasper,0,0,1,3,4,5,6,6,8,9,11,13
Jay,0,0,0,0,0,0,0,0,0,1,1,2
Jefferson,0,0,0,0,0,0,0,0,1,1,3,5
Jennings,1,2,3,4,5,10,13,14,15,17,23,31
Johnson,12,18,24,36,42,52,71,81,101,118,126,136
Knox,0,0,0,0,0,0,2,2,2,3,4,4
Kosciusko,0,0,0,0,1,2,3,4,5,5,5,8
LaGrange,0,0,0,0,2,2,2,2,2,2,2,4
Lake,10,17,19,31,47,68,85,97,146,180,215,244
LaPorte,2,2,2,2,2,4,6,6,8,11,14,17
Lawrence,0,1,1,2,5,5,8,9,9,11,12,22
Madison,2,3,4,4,7,12,18,29,38,46,62,67
Marion,82,161,226,293,484,584,676,804,964,1117,1304,1429
Marshall,0,0,0,1,4,3,3,3,3,3,4,4
Martin,0,0,0,0,0,0,0,0,0,0,0,0
Miami,1,1,1,1,1,1,1,3,3,3,4,5
Monroe,1,3,4,6,8,16,22,26,30,33,36,40
Montgomery,0,1,1,2,3,4,5,6,6,6,10,12
Morgan,1,3,5,7,10,14,20,23,32,41,48,52
Newton,0,0,0,0,0,1,1,1,1,1,1,1
Noble,1,1,1,1,1,2,2,2,2,3,3,5
Ohio,0,1,1,1,1,1,1,1,1,1,1,1
Orange,0,0,0,1,1,1,1,2,3,3,3,5
Owen,1,2,4,4,5,7,9,10,11,12,12,13
Parke,0,0,0,0,0,0,0,0,0,0,0,1
Perry,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0
Porter,0,1,3,5,6,9,14,15,21,27,35,45
Posey,0,0,0,1,1,2,3,3,4,4,4,5
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,1,1,2,2,2,5,5,7,7,11,11,13
Randolph,0,0,0,0,0,1,1,1,3,3,3,4
Ripley,1,6,7,11,14,15,19,25,31,33,39,47
Rush,0,0,1,1,3,3,2,4,4,5,7,8
St. Joseph,17,18,19,21,27,31,32,36,49,57,65,72
Scott,1,1,1,1,1,1,1,1,1,1,5,6
Shelby,1,1,2,2,6,10,12,13,15,19,24,26
Spencer,0,0,0,0,0,0,0,0,0,0,1,1
Starke,1,2,1,1,1,1,1,1,1,1,2,2
Steuben,0,0,0,0,0,0,1,1,1,2,2,2
Sullivan,0,0,1,1,1,1,1,1,2,3,3,3
Switzerland,0,0,0,0,0,1,3,3,3,3,4,6
Tippecanoe,2,3,4,7,8,11,11,14,14,18,19,26
Tipton,1,2,2,2,2,2,4,4,4,5,5,5
Union,0,0,0,0,0,0,0,0,0,0,0,0
Vanderburgh,1,1,1,4,6,10,17,17,18,20,23,33
Vermillion,0,0,0,0,0,0,0,0,0,0,0,2
Vigo,2,3,3,3,3,4,7,7,8,8,10,9
Wabash,0,0,0,0,1,1,1,1,1,1,1,1
Warren,0,0,0,1,1,1,2,2,2,2,2,2
Warrick,0,1,0,3,3,6,8,8,8,8,8,10
