County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allen,1,1,1,1,1,1,1,1,1,2,2,2,2,2,6
Bartholomew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blackford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,1,2,3,4,4
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daviess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dearborn,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Decatur,0,0,0,0,0,0,0,0,1,1,3,4,4,4,4
DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Dubois,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elkhart,0,0,0,0,0,0,0,0,1,2,3,3,3,3,3
Fayette,0,0,0,0,0,1,1,1,1,2,2,3,3,3,3
Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fountain,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Franklin,0,0,0,1,1,2,2,4,4,5,6,6,6,6,6
Fulton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,4,4,4,4,5,5
Hancock,0,0,1,1,1,1,1,1,2,2,2,2,2,2,2
Harrison,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Hendricks,0,0,0,0,2,2,2,1,1,1,1,1,4,4,4
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard,0,0,1,1,1,1,1,1,1,1,2,2,2,2,2
Huntington,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasper,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Jay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jennings,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,1,3,3,3,3,3,3,3,3,3,3,4,6,6,6
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kosciusko,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LaGrange,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,1,1,1,5,6,6,7,8,8,8
LaPorte,0,0,0,0,0,0,0,0,0,0,1,1,2,2,2
Lawrence,0,0,0,0,0,0,0,0,0,1,1,4,5,5,5
Madison,0,0,0,0,1,1,1,1,1,2,3,7,9,9,9
Marion,3,6,6,6,8,10,10,12,17,21,24,33,34,37,37
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Martin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noble,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Ohio,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orange,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Owen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Parke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Porter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Posey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Randolph,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Ripley,0,0,0,0,0,0,0,0,1,1,1,1,2,2,2
Rush,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
St. Joseph,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Scott,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spencer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Starke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Steuben,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Switzerland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tippecanoe,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Tipton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vanderburgh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermillion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vigo,0,0,0,0,0,1,1,1,1,2,2,2,2,2,2
Wabash,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Warrick,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wells,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
White,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Whitley,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Out of IN,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
