County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adair,1,1,1,1,1,1,1,1,1,1,1,1
Adams,0,0,0,0,0,0,0,0,0,0,0,0
Allamakee,6,6,7,7,7,7,7,7,7,7,15,16
Appanoose,0,0,0,1,1,1,1,1,1,1,1,1
Audubon,0,0,0,0,0,0,0,1,1,1,1,1
Benton,0,0,2,2,3,4,4,7,7,7,7,7
Black Hawk,3,4,4,5,7,6,6,6,7,7,8,8
Boone,0,0,0,0,0,1,1,1,1,1,2,2
Bremer,0,0,0,0,0,0,0,0,0,0,1,1
Buchanan,0,1,1,1,1,2,2,2,2,2,3,3
Buena Vista,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,1,1,1,1,1,1,1,1
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,1,1,1,1,1,1,1,1,1,1,1,1
Cass,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,0,1,1,4,5,6,7,8,9,9,11,11
Cerro Gordo,2,2,2,2,3,4,6,7,7,8,10,10
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0
Chickasaw,0,0,0,0,0,0,0,0,0,0,0,0
Clarke,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,1,2,2
Clayton,0,0,0,1,1,1,1,1,1,2,2,3
Clinton,0,0,0,0,1,1,1,2,5,6,9,15
Crawford,0,0,0,0,0,0,0,1,1,1,1,4
Dallas,6,7,7,7,9,15,17,21,25,27,31,33
Davis,0,0,0,0,0,0,0,0,0,0,0,0
Decatur,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,1,0
Des Moines,0,0,1,1,1,1,1,1,1,2,1,1
Dickinson,0,0,0,0,1,1,1,1,1,1,1,1
Dubuque,6,6,6,6,8,12,16,21,21,22,22,23
Emmet,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,1,1,1,1,1,2,2,2,2,2,2,3
Floyd,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0
Grundy,0,0,0,0,0,0,0,0,0,0,0,0
Guthrie,0,0,0,0,0,0,0,1,1,1,1,1
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,2,2,3,3,3,3,3,3,3,3,3,3
Hardin,0,0,0,0,1,1,1,1,1,1,1,1
Harrison,3,3,3,3,7,8,8,8,9,10,10,10
Henry,1,1,1,1,2,2,3,3,3,5,5,6
Howard,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,0,0,0,0,0,0,0,0,0,0,0,0
Ida,0,0,0,0,0,0,0,0,0,0,0,0
