County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allamakee,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Appanoose,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2
Audubon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Black Hawk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bremer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buchanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Buena Vista,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Calhoun,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cerro Gordo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickasaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clayton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delaware,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Des Moines,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dubuque,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Emmet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Floyd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fremont,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Guthrie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hardin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ida,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Keokuk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kossuth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linn,0,0,0,0,0,0,1,2,2,2,4,4,4,5,7
Louisa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lucas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mahaska,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mills,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muscatine,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
O'Brien,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Page,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Palo Alto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plymouth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pocahontas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,1,1,1,1,2,4
Pottawattamie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Poweshiek,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Ringgold,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sioux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Story,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tama,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Taylor,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Van Buren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wapello,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,1,1,2,2,2,2,3,3
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winnebago,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winneshiek,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodbury,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of IA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,1,1,1,1,3,0,0
