County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Allen,0,0,0,0,0,0,0,0,0,0,0,0
Anderson,0,0,0,0,0,0,0,0,0,0,1,0
Atchison,0,0,0,0,0,0,0,1,1,1,1,1
Barber,0,0,0,0,0,0,0,0,0,0,0,0
Barton,0,0,0,0,0,0,0,0,1,1,2,3
Bourbon,1,1,1,1,3,3,3,3,3,3,3,3
Brown,0,0,0,0,0,0,0,0,0,0,0,0
Butler,3,3,3,3,3,3,3,3,3,5,7,7
Chase,0,0,0,0,0,0,0,0,0,0,0,0
Chautauqua,0,0,0,0,0,0,0,0,1,1,1,2
Cherokee,2,2,2,2,2,2,2,2,3,3,4,5
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,1,1,1,1,1,1,1,1
Cloud,0,0,0,0,0,0,0,0,0,0,1,1
Coffey,0,0,0,0,1,5,8,10,14,16,16,18
Comanche,0,0,0,0,0,0,0,0,0,0,0,0
Cowley,0,0,0,0,0,0,0,0,0,0,1,1
Crawford,2,2,2,3,3,3,4,5,5,5,5,4
Decatur,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan,0,1,1,1,1,1,1,1,1,1,1,1
Douglas,8,6,10,13,14,23,23,23,24,31,31,31
Edwards,0,0,0,0,0,0,0,0,0,0,0,0
Elk,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,0,0,0,0,0,0,0,0,0,0,0,0
Ellsworth,0,0,0,0,0,0,0,0,0,0,0,0
Finney,0,0,0,0,0,0,0,1,1,1,3,4
Ford,0,0,0,0,0,1,1,1,1,0,0,1
Franklin,1,1,1,1,2,6,6,6,7,7,7,9
Geary,0,0,0,0,0,0,0,0,0,0,0,0
Gove,0,0,0,0,1,1,1,1,1,1,1,1
Graham,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0
Gray,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,0,0,0,0,0,0,0,0,0,0,0,0
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0
Harper,0,0,0,0,0,0,0,0,0,0,0,0
Harvey,0,0,0,0,1,1,1,1,1,2,2,2
Haskell,0,0,0,0,0,0,0,0,0,0,0,0
Hodgeman,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,1,1,1,1,1,1,1,1,1,1,1,1
Jefferson,0,0,0,1,1,1,1,1,1,1,1,2
Jewell,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,32,36,44,59,66,80,108,116,134,143,161,172
Kearny,0,0,0,0,0,0,0,0,0,0,0,0
Kingman,0,0,0,0,0,0,0,0,0,0,0,0
