County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Allen,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anderson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barber,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bourbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chautauqua,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cherokee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheyenne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cloud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffey,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Comanche,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cowley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Decatur,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Doniphan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Edwards,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ellsworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Finney,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Geary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gove,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Graham,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greeley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hamilton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harvey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Haskell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hodgeman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jewell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Johnson,1,1,1,1,1,1,2,2,2,3,3,7,7,7,9
Kearny,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kingman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiowa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Labette,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lane,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leavenworth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McPherson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Meade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morris,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nemaha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neosho,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ness,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osborne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pawnee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pottawatomie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pratt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rawlins,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reno,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rice,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Riley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rooks,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rush,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sedgwick,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Seward,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shawnee,0,0,0,0,0,0,1,1,1,1,2,2,2,2,2
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sherman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stafford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stanton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stevens,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sumner,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Thomas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Trego,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wabaunsee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wallace,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wichita,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wilson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Woodson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wyandotte,1,1,2,2,3,3,4,4,4,4,4,6,6,6,6
Out of KS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,3,4,5
