County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adair,0,0,0,0,0,0,0,0,0,0,0,0
Allen,0,0,1,1,1,1,1,1,2,2,2,2
Anderson,2,2,2,2,2,2,2,2,2,2,2,2
Ballard,0,0,0,0,0,0,0,0,0,0,0,0
Barren,0,0,0,0,0,0,1,1,1,1,1,1
Bath,0,0,0,0,0,0,0,0,0,0,0,0
Bell,0,0,0,0,0,0,0,0,0,0,0,0
Boone,0,1,1,1,1,5,5,5,8,8,8,8
Bourbon,2,2,2,2,2,2,2,2,2,2,2,2
Boyd,0,0,0,0,0,0,0,0,4,4,4,4
Boyle,0,0,0,0,0,0,1,1,4,4,4,4
Bracken,0,0,0,0,0,0,1,1,1,1,1,1
Breathitt,1,1,2,2,2,2,2,2,2,2,2,2
Breckinridge,0,0,0,0,0,0,2,2,2,2,2,2
Bullitt,0,0,0,0,0,0,2,2,6,6,6,6
Butler,0,0,0,0,0,0,1,1,1,1,1,1
Caldwell,0,0,0,0,0,0,0,0,0,0,0,0
Calloway,1,1,1,1,1,1,2,3,3,3,3,3
Campbell,0,1,1,1,1,3,4,4,8,8,8,8
Carlisle,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,1,1,2,2,2,2
Carter,0,0,0,0,0,0,0,0,0,0,0,0
Casey,0,0,0,0,0,0,0,0,0,0,0,0
Christian,2,2,2,2,2,2,6,6,7,7,7,7
Clark,2,2,2,2,2,2,6,6,8,8,8,8
Clay,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0
Crittenden,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,0,0,0,0,0,0,0,0
Daviess,11,11,14,14,14,33,27,27,34,34,34,34
Edmonson,0,0,0,0,0,0,0,0,2,2,2,2
Elliott,0,0,0,0,0,0,0,0,0,0,0,0
Estill,0,0,0,0,0,0,0,0,0,0,0,0
Fayette,15,15,28,28,28,28,67,82,110,110,116,116
Fleming,0,0,0,0,0,0,0,0,0,0,0,0
Floyd,0,0,0,0,0,0,1,1,0,0,0,0
Franklin,2,2,2,2,2,2,6,6,6,6,6,6
Fulton,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0
Garrard,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,1,1,1,1,1,1
Graves,0,0,0,0,0,0,0,0,0,0,0,0
Grayson,0,0,0,0,0,0,2,2,2,2,2,2
Green,0,0,0,0,0,0,0,0,0,0,0,0
Greenup,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,1,1,1,1,1,1,1
Hardin,2,2,2,2,2,2,5,5,6,6,6,6
Harlan,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,8,8,10,10,10,10,11,11,11,11,11,11
Hart,0,0,0,0,0,0,0,0,0,0,0,0
Henderson,2,2,2,2,2,3,3,3,5,5,5,5
Henry,0,0,0,0,0,0,0,0,0,0,0,0
Hickman,0,0,0,0,0,0,0,0,0,0,0,0
Hopkins,0,0,0,0,0,0,11,17,17,17,27,27
Jackson,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,33,33,35,35,35,103,97,116,206,206,228,228
Jessamine,1,1,1,1,1,1,10,11,13,13,13,13
Johnson,0,0,0,0,0,0,0,0,0,0,0,0
Kenton,5,5,8,8,8,12,17,19,20,20,25,25
Knott,0,0,0,0,0,0,0,0,0,0,0,0
Knox,0,0,0,0,0,0,0,0,0,0,0,0
Larue,0,0,0,0,0,0,1,1,1,1,1,1
Laurel,0,1,1,1,1,1,2,2,2,2,2,2
Lawrence,0,0,0,0,0,0,0,0,1,1,1,1
Lee,0,0,0,0,0,0,0,0,0,0,0,0
Leslie,0,0,0,0,0,0,0,0,0,0,0,0
Letcher,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,1,1,1,1
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,0,0,0,0,0
Logan,0,1,1,1,1,1,2,2,3,3,3,3
Lyon,1,1,1,1,1,1,1,1,1,1,1,1
McCracken,0,1,2,2,2,2,3,5,8,8,8,8
McCreary,0,0,0,0,0,0,1,1,1,1,1,1
McLean,0,0,0,0,0,1,1,1,1,1,1,1
Madison,2,2,2,2,2,2,7,8,10,10,10,10
Magoffin,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,1,1,1,1
Marshall,0,0,0,0,0,0,0,0,1,1,1,1
Martin,1,1,1,1,1,1,2,2,1,1,1,1
Mason,0,0,0,0,0,0,1,1,1,1,1,1
Meade,0,0,0,0,0,0,0,0,0,0,0,0
Menifee,1,1,1,1,1,1,2,2,2,2,2,2
Mercer,0,0,0,0,0,0,2,2,2,2,2,2
Metcalfe,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,2,2,2,2,2,2,2,2,2,2,2,2
Morgan,0,0,0,0,0,0,0,0,0,0,0,0
Muhlenberg,2,2,2,2,2,2,4,7,10,10,10,10
Nelson,1,1,1,1,1,1,2,3,3,3,3,3
Nicholas,0,0,0,0,0,0,1,1,1,1,1,1
Ohio,0,0,0,0,0,0,0,0,0,0,0,0
Oldham,1,1,1,1,1,1,3,3,6,6,6,6
Owen,0,0,0,0,0,0,0,0,0,0,0,0
Owsley,0,0,0,0,0,0,0,0,0,0,0,0
Pendleton,0,0,0,0,0,0,0,0,1,1,1,1
Perry,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0
Powell,0,0,0,0,0,0,0,0,1,1,1,1
Pulaski,3,3,3,3,3,3,7,7,8,8,8,8
Robertson,0,0,0,0,0,0,0,0,0,0,0,0
Rockcastle,0,0,0,0,0,0,0,0,1,1,1,1
Rowan,0,0,0,0,0,0,0,0,0,0,0,0
Russell,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,1,1,1,1,1,5,6,6,6,6,6
Shelby,0,0,0,0,0,0,1,1,2,2,2,2
Simpson,0,1,1,1,1,1,2,4,9,9,9,9
Spencer,1,1,1,1,1,1,2,2,2,2,2,2
Taylor,0,0,0,0,0,0,0,0,2,2,2,2
Todd,0,0,0,0,0,0,0,0,0,0,0,0
Trigg,0,0,0,0,0,0,0,0,0,0,0,0
Trimble,0,0,0,0,0,0,0,0,0,0,0,0
Union,0,0,0,0,0,0,1,1,2,2,2,2
Warren,4,4,5,5,5,5,9,12,13,13,13,13
Washington,0,0,0,0,0,0,1,1,1,1,1,1
Wayne,0,0,0,0,0,0,1,1,3,3,3,3
Webster,0,1,1,1,1,1,2,2,2,2,2,2
Whitley,0,0,0,0,0,0,0,0,0,0,0,0
Wolfe,0,0,0,0,0,0,0,0,0,0,0,0
Woodford,0,0,0,0,0,0,3,3,5,5,5,5
Out of KY,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,15,46,54,104,158,150,69,53,14,18,113,113
