County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Acadia,0,0,0,0,1,1,1,1,1,1,1,1,2,2,2
Allen,0,0,0,0,0,0,0,0,0,0,3,3,3,5,5
Ascension,1,1,1,1,1,1,2,5,6,5,7,7,7,11,11
Assumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Avoyelles,0,0,0,0,0,0,0,0,0,2,1,1,1,1,1
Beauregard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bienville,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Bossier,0,0,0,0,0,0,0,0,1,1,2,2,2,3,3
Caddo,0,0,0,1,2,2,5,5,7,7,10,10,10,19,21
Calcasieu,0,1,1,1,1,1,1,1,1,1,1,1,3,3,3
Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cameron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Catahoula,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Claiborne,0,0,0,0,0,0,0,0,0,0,2,2,2,2,2
Concordia,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
De Soto,0,0,0,1,1,1,1,1,1,1,1,2,3,3,4
East Baton Rouge,2,2,3,4,4,4,7,9,9,10,11,13,14,22,25
East Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
East Feliciana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Evangeline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iberia,0,0,0,0,0,0,0,0,0,1,1,3,3,3,5
Iberville,0,1,1,1,1,1,1,2,3,3,4,5,5,5,6
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,5,6,7,12,24,26,28,37,57,64,73,85,95,113,121
Jefferson Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Lafayette,0,0,0,0,0,1,1,1,1,2,2,2,4,5,6
Lafourche,0,0,1,1,2,2,2,2,2,4,4,3,3,4,7
LaSalle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morehouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Natchitoches,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Orleans,20,26,37,46,57,70,73,86,101,115,125,148,153,161,171
Ouachita,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Plaquemines,0,0,0,0,2,2,2,2,2,4,3,4,4,6,6
Pointe Coupee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rapides,1,1,1,1,1,1,1,1,3,4,3,4,4,4,4
Red River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sabine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Bernard,0,0,1,1,1,2,2,2,2,3,5,7,8,8,8
St. Charles,0,0,1,2,2,2,2,3,6,7,8,11,12,13,15
St. Helena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. James,1,1,1,1,3,3,3,3,4,4,4,4,6,6,6
St. John the Baptist,0,0,2,2,3,3,5,8,12,13,14,17,23,24,24
St. Landry,0,0,0,0,0,0,0,1,1,1,1,2,2,4,4
St. Martin,0,0,0,0,3,3,3,3,3,3,3,3,5,4,4
St. Mary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Tammany,0,1,1,1,2,2,3,4,4,6,9,10,14,14,17
Tangipahoa,0,0,0,0,0,0,0,0,0,2,1,1,2,2,2
Tensas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terrebonne,0,0,0,0,1,1,1,1,1,1,1,2,5,8,7
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vermilion,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Vernon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2
Webster,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2
West Baton Rouge,1,1,1,1,1,1,1,1,1,1,1,3,4,7,7
West Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
West Feliciana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Winn,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Out of LA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,1,1,1,1,1,0,0,4,0,1,4,0,4,3
