County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Androscoggin,3,3,4,5,6,7,8,8,11,11,12,19
Aroostook,0,0,0,0,0,0,0,0,0,0,0,1
Cumberland,66,74,87,90,92,120,142,154,169,169,204,222
Franklin,0,0,0,1,1,2,2,2,2,2,3,4
Hancock,0,0,0,0,0,0,0,0,0,0,2,2
Kennebec,4,5,5,6,6,9,10,10,12,12,19,19
Knox,1,1,1,1,2,2,4,4,5,5,7,9
Lincoln,5,5,5,5,5,5,5,8,8,8,8,8
Oxford,5,6,6,8,8,8,9,9,9,9,9,10
Penobscot,3,4,4,5,6,10,11,12,12,12,16,20
Piscataquis,0,0,0,0,0,0,0,0,0,0,0,0
Sagadahoc,3,3,4,4,4,5,7,7,7,7,10,12
Somerset,0,0,0,0,0,0,1,1,1,1,2,2
Waldo,0,1,1,2,2,2,2,2,2,2,2,3
Washington,0,0,0,0,0,0,0,0,0,0,0,1
York,12,16,23,27,33,38,47,53,59,59,74,89
Out of ME,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,5,0,2,1,3,3,5,5,6,6,8,11
