County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Androscoggin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Aroostook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cumberland,0,0,0,0,1,1,3,3,3,3,5,5,5,5,5
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kennebec,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oxford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Penobscot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Piscataquis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sagadahoc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Waldo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
York,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Out of ME,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3
