County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Allegany,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anne Arundel,0,0,0,0,0,0,0,0,1,1,3,4,6,6,8
Baltimore,1,1,1,1,1,1,1,1,1,1,3,3,4,6,11
Calvert,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Caroline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,1,2,2,4,5,6,8,10
Cecil,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Charles,0,0,0,0,0,0,1,1,1,1,1,1,1,2,2
Dorchester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Frederick,0,0,0,0,0,0,0,0,0,1,3,3,3,3,4
Garrett,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard,0,0,0,0,0,0,0,1,2,2,2,2,3,3,3
Kent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,1,1,1,1,1,1,1,1,1,1,6,9,9,13,19
Prince George's,1,2,2,2,2,2,3,6,7,7,9,9,13,16,23
Queen Anne's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Mary's,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Somerset,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Talbot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wicomico,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Worcester,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baltimore City,0,0,0,0,0,0,2,2,2,2,2,4,6,7,8
Out of MD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,1,1,1,1,0,12,0,0,0,0,0
