County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Barnstable,0,0,1,1,2,2,2,2,2,3,3,6,6,6,7
Berkshire,0,0,0,0,2,2,3,3,4,4,5,5,8,11,11
Bristol,0,0,0,0,1,1,1,2,2,3,3,4,5,8,8
Dukes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Essex,0,0,0,2,2,3,4,6,12,17,18,23,25,27,29
Franklin,0,0,0,1,2,2,2,2,4,7,8,11,12,12,13
Hampden,0,0,0,1,1,4,4,4,11,16,19,27,34,34,38
Hampshire,0,0,0,0,0,0,0,0,1,1,2,3,3,3,3
Middlesex,1,1,1,4,5,5,6,8,17,20,28,38,38,41,47
Nantucket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk,0,0,1,2,6,8,9,10,12,15,21,24,25,26,29
Plymouth,0,0,0,0,0,0,0,0,2,5,6,7,8,10,15
Suffolk,1,1,1,2,2,3,3,5,6,13,19,21,26,27,31
Worcester,0,0,2,3,3,5,5,5,7,9,13,14,17,17,18
Dukes and Nantucket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Out of MA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,7,9,9,9,9,9,9,9,9,9,9,9,9,9,10
