County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Alcona,0,0,0,0,0,0,0,0,0,0,0,0
Alger,0,0,0,0,0,0,0,0,0,0,0,0
Allegan,1,1,1,1,1,2,2,2,3,5,5,6
Alpena,0,0,0,0,0,0,0,0,0,0,0,0
Antrim,0,0,0,0,0,0,0,2,3,4,4,4
Arenac,0,0,0,0,0,0,0,0,1,1,1,2
Baraga,0,0,0,0,0,0,0,0,0,0,0,0
Barry,1,1,1,1,1,1,1,1,2,2,4,5
Bay,2,2,3,4,4,4,5,9,9,10,16,18
Benzie,0,0,0,0,0,0,0,0,0,0,0,0
Berrien,5,8,10,11,18,22,29,32,35,38,40,52
Branch,0,0,0,0,0,0,0,0,2,2,5,6
Calhoun,3,4,6,7,9,11,15,17,17,23,25,31
Cass,0,0,0,1,1,2,4,4,4,6,6,6
Charlevoix,2,3,4,4,4,4,4,4,4,4,5,5
Cheboygan,0,0,0,0,0,0,1,1,1,2,3,6
Chippewa,1,1,1,1,1,0,0,0,1,1,1,1
Clare,1,1,1,1,1,1,1,1,1,1,1,2
Clinton,2,5,6,7,8,13,14,19,24,33,43,49
Crawford,0,0,0,0,1,1,1,1,1,1,1,1
Delta,0,0,0,0,0,0,0,1,1,3,4,5
Dickinson,0,0,0,0,0,0,0,0,0,0,1,1
Eaton,2,3,3,4,8,8,8,15,21,27,37,47
Emmet,1,2,2,2,3,4,4,4,5,7,6,6
Genesee,23,34,46,63,91,110,127,150,185,249,349,422
Gladwin,1,2,2,2,2,2,3,2,2,2,2,2
Gogebic,0,0,0,0,1,1,1,1,2,2,3,3
Grand Traverse,1,3,3,3,3,5,6,7,7,8,9,11
Gratiot,0,0,0,0,1,2,3,3,3,3,5,5
Hillsdale,0,1,2,5,6,7,10,12,14,19,24,26
Houghton,0,0,0,0,0,0,0,1,1,1,1,1
Huron,0,0,0,0,1,1,3,3,3,3,4,4
Ingham,12,15,18,22,26,32,43,73,91,121,128,152
Ionia,0,0,0,2,2,2,2,4,4,6,5,6
Iosco,0,0,1,1,1,1,1,1,1,1,1,1
Iron,0,0,0,0,0,0,0,0,0,0,0,0
Isabella,0,2,2,3,4,4,4,5,6,7,8,9
Jackson,1,6,12,17,16,20,24,37,47,56,67,69
Kalamazoo,3,3,5,10,11,15,19,24,24,30,34,40
Kalkaska,0,1,2,2,4,4,4,5,7,7,7,8
Kent,28,31,36,41,45,53,72,96,108,119,125,136
Keweenaw,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0
Lapeer,0,1,1,3,4,4,4,6,8,8,21,22
Leelanau,1,1,1,1,1,1,1,1,1,1,1,1
Lenawee,0,0,3,5,8,11,15,15,18,22,24,24
Livingston,9,13,16,21,31,41,59,64,80,102,113,121
Luce,0,0,1,0,0,0,0,0,0,0,0,1
Mackinac,0,0,0,0,0,0,0,0,0,1,1,2
Macomb,175,225,281,347,404,534,620,728,853,1088,1332,1560
Manistee,0,1,1,1,1,1,1,1,1,1,1,1
Marquette,0,1,1,1,1,1,2,3,4,4,5,7
Mason,0,0,0,0,0,0,0,0,0,0,0,0
Mecosta,0,0,0,1,1,1,1,2,3,3,3,4
Menominee,0,0,0,0,0,0,0,0,0,0,0,0
Midland,5,5,6,6,8,8,8,9,10,12,15,16
Missaukee,0,0,0,1,1,1,1,1,1,1,1,1
Monroe,7,12,18,21,28,34,38,45,49,58,79,95
Montcalm,1,1,2,3,3,3,3,4,5,10,10,12
Montmorency,0,0,0,0,0,0,0,0,0,0,0,0
Muskegon,1,3,3,3,6,7,13,18,18,18,26,30
Newaygo,1,2,2,2,1,1,1,1,1,1,2,2
Oakland,329,428,543,668,824,1018,1170,1365,1591,1910,2183,2540
Oceana,0,0,0,1,1,1,2,2,2,2,2,3
Ogemaw,0,0,0,1,1,1,1,4,1,1,2,2
Ontonagon,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,0,0,0,0,0,1,2,2,2,2,3,3
Oscoda,0,0,0,0,0,0,0,0,2,2,2,2
Otsego,3,5,6,7,7,14,17,17,19,19,19,20
Ottawa,11,15,16,18,21,23,25,28,31,31,35,37
Presque Isle,0,0,0,0,0,0,0,0,0,0,0,1
Roscommon,1,1,1,1,1,1,1,1,1,1,1,2
Saginaw,2,8,9,10,14,19,24,36,51,71,82,90
St. Clair,7,8,10,13,15,16,20,25,32,41,53,66
St. Joseph,0,0,0,0,0,0,0,3,4,5,8,10
Sanilac,0,0,2,1,2,2,2,5,7,7,8,10
Schoolcraft,0,0,0,0,0,0,0,0,1,0,0,0
Shiawassee,0,0,0,1,2,2,5,8,8,11,17,18
Tuscola,1,1,2,2,2,4,4,5,9,11,14,15
Van Buren,0,0,2,2,3,4,4,4,7,10,12,12
Washtenaw,42,50,72,92,150,185,233,266,305,401,438,477
Wayne,638,876,1122,1389,1810,2316,2704,3195,3735,4470,5069,6096
Wexford,1,1,1,1,1,1,1,2,2,2,3,4
Out of MI,4,6,7,7,8,15,18,17,20,42,48,74
Unassigned,0,0,0,0,0,47,77,78,93,142,178,215
