County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Alcona,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Allegan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alpena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Antrim,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Arenac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Baraga,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benzie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Berrien,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Branch,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Calhoun,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Cass,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Charlevoix,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Cheboygan,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Chippewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clare,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Delta,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dickinson,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Eaton,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Emmet,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
Genesee,0,0,0,2,4,5,5,7,7,8,10,11,15,18,26
Gladwin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gogebic,0,0,0,0,1,1,1,1,1,1,1,1,1,1,1
Grand Traverse,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3
Gratiot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillsdale,0,0,0,0,0,0,1,1,1,1,1,2,2,3,3
Houghton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Huron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ingham,0,0,0,0,1,0,0,0,0,1,1,1,1,2,1
Ionia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iosco,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Iron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isabella,0,0,0,0,0,0,1,1,1,1,1,2,2,2,2
Jackson,0,0,0,0,0,0,1,1,1,2,2,3,3,3,4
Kalamazoo,0,0,0,0,0,0,0,1,1,1,1,1,3,3,3
Kalkaska,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Kent,1,1,1,1,1,1,1,1,1,2,2,2,2,3,5
Keweenaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lapeer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leelanau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lenawee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2
Luce,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mackinac,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macomb,2,3,7,11,14,17,20,27,38,51,58,65,78,83,100
Manistee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquette,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Mason,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mecosta,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Menominee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Midland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missaukee,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montcalm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montmorency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Muskegon,0,0,0,0,2,2,2,2,2,2,2,2,2,4,4
Newaygo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oakland,4,4,10,15,26,31,34,48,70,99,119,136,142,163,185
Oceana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ogemaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ontonagon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osceola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oscoda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Otsego,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Ottawa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Presque Isle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roscommon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saginaw,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
St. Clair,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3
St. Joseph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanilac,0,0,0,0,0,0,0,0,0,1,1,1,1,1,2
Schoolcraft,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shiawassee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuscola,0,0,0,1,1,1,1,1,2,2,2,2,2,2,2
Van Buren,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Washtenaw,0,3,3,3,3,3,5,6,7,8,8,8,8,8,10
Wayne,8,13,21,26,37,46,56,83,120,146,194,223,252,293,346
Wexford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of MI,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Unassigned,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
