County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Aitkin,0,0,0,0,0,0,0,0,0,0,0,0
Anoka,7,7,7,8,10,12,17,22,23,26,30,34
Becker,0,0,0,0,0,0,0,0,0,0,0,0
Beltrami,0,0,0,0,1,2,2,3,4,4,4,4
Benton,1,1,1,1,1,1,1,1,1,1,1,1
Big Stone,1,1,1,1,1,1,1,1,1,1,1,1
Blue Earth,5,5,5,6,7,7,8,9,9,9,10,10
Brown,0,0,0,0,0,0,0,0,2,2,2,2
Carlton,0,0,0,0,0,0,0,0,1,2,3,5
Carver,8,8,8,8,8,9,9,10,10,10,10,10
Cass,1,1,1,1,1,1,1,1,1,1,1,1
Chippewa,0,0,0,0,0,0,0,0,0,0,0,0
Chisago,2,2,2,2,2,1,1,3,3,3,3,4
Clay,2,3,3,4,4,4,4,4,6,7,8,8
Clearwater,0,0,0,0,0,1,1,2,2,2,2,2
Cook,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,0,0,0,0,0,0,1,1,2,3,5,5
Crow Wing,0,0,0,0,0,0,0,0,0,1,2,3
Dakota,18,21,21,25,28,33,39,46,47,48,52,54
Dodge,2,3,3,5,5,6,7,8,8,10,10,10
Douglas,0,0,0,0,0,0,1,1,1,1,1,1
Faribault,0,0,0,0,1,1,1,1,2,2,2,3
Fillmore,3,3,3,3,3,5,6,7,8,8,9,9
Freeborn,0,0,0,0,0,0,0,0,0,2,5,7
Goodhue,0,0,1,1,2,2,2,3,3,4,4,5
Grant,0,0,0,0,0,0,0,0,0,0,0,0
Hennepin,89,103,111,128,141,152,171,190,204,218,235,242
Houston,0,0,0,0,0,0,0,0,0,0,0,0
Hubbard,0,0,0,0,0,0,0,0,0,0,0,0
Isanti,0,0,0,0,0,0,1,2,2,2,2,2
Itasca,0,0,0,0,0,0,0,1,1,1,2,2
Jackson,1,1,1,1,1,1,1,1,1,1,1,1
Kanabec,0,0,0,0,0,0,0,0,0,0,0,0
Kandiyohi,0,0,0,1,1,1,1,1,2,2,2,2
Kittson,0,0,0,0,0,0,0,0,0,0,0,0
Koochiching,0,0,0,0,0,0,0,0,0,0,1,1
Lac qui Parle,0,0,0,0,0,1,1,1,1,1,1,1
Lake,0,0,0,0,0,0,0,0,0,0,0,0
Lake of the Woods,0,0,0,0,0,0,0,0,0,0,0,0
Le Sueur,1,5,6,6,10,11,11,13,15,15,18,19
Lincoln,0,0,0,0,1,1,1,1,1,1,1,1
Lyon,0,0,0,0,0,0,0,0,1,2,3,3
McLeod,0,0,0,0,0,0,0,0,0,0,0,0
Mahnomen,0,0,0,0,1,1,1,1,1,1,1,1
Marshall,0,0,0,0,0,0,0,0,0,0,0,0
Martin,8,8,10,12,18,19,21,23,25,29,29,32
Meeker,0,0,0,0,0,0,0,1,1,1,1,1
Mille Lacs,0,0,0,0,0,0,0,0,0,0,0,0
Morrison,0,0,0,0,0,0,0,0,0,0,0,0
Mower,6,6,6,10,10,11,11,12,13,14,15,15
Murray,0,0,0,0,0,0,0,0,0,0,0,0
Nicollet,3,3,3,3,3,3,3,3,3,3,3,3
Nobles,0,0,0,0,0,0,0,0,0,0,0,0
Norman,0,0,0,0,0,0,0,0,0,0,0,0
Olmsted,16,18,21,29,34,37,47,51,53,61,66,76
Otter Tail,0,0,0,0,0,0,1,1,1,1,1,1
Pennington,0,0,0,0,0,0,0,0,0,0,0,0
Pine,0,0,0,0,0,0,0,0,0,0,0,0
Pipestone,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,0,0,0
Pope,0,0,0,0,0,0,0,0,0,0,0,0
Ramsey,24,26,27,32,34,42,46,50,56,66,67,71
Red Lake,0,0,0,0,0,0,0,0,0,0,0,0
Redwood,0,0,0,0,0,0,0,0,0,0,0,0
Renville,1,1,1,1,1,1,1,1,1,1,2,2
Rice,2,2,2,2,2,3,3,3,3,4,3,3
Rock,0,0,0,0,0,0,0,0,0,0,0,0
Roseau,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis,2,2,3,5,5,5,10,12,12,13,13,13
Scott,5,5,6,6,7,8,9,10,10,10,10,11
Sherburne,1,1,1,1,3,5,5,7,8,8,8,8
Sibley,0,0,0,1,1,1,1,1,1,1,1,1
Stearns,5,5,5,5,5,5,5,5,5,5,5,5
Steele,3,5,5,5,5,5,5,6,6,6,6,6
Stevens,0,0,0,0,0,0,0,0,0,0,0,0
Swift,0,0,0,0,0,0,0,0,0,0,0,0
Todd,0,0,0,0,0,0,0,0,0,0,0,0
Traverse,0,0,0,0,0,0,0,0,2,2,2,2
Wabasha,1,1,3,4,4,4,4,6,6,6,6,6
Wadena,0,0,0,0,0,0,0,0,0,0,0,0
Waseca,2,1,1,2,3,3,3,3,3,3,3,3
Washington,10,10,13,15,22,25,27,34,39,44,46,51
Watonwan,0,0,0,0,0,0,0,1,1,2,3,3
Wilkin,0,0,0,1,1,1,1,1,1,1,1,2
Winona,0,0,2,4,4,4,4,5,10,10,11,11
Wright,3,3,3,5,5,5,6,6,6,6,7,7
Yellow Medicine,0,0,0,0,0,0,0,0,0,1,1,1
Out of MN,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,1,0,0,0,0,0,0,0,0,0,0,0
