County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Aitkin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Anoka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Becker,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Beltrami,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blue Earth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Brown,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carver,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chippewa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chisago,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clearwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cook,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cottonwood,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crow Wing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dakota,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Dodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faribault,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fillmore,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Freeborn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Goodhue,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hennepin,0,0,0,0,0,2,2,5,5,5,6,6,9,11,14
Houston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hubbard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Isanti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itasca,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kanabec,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kandiyohi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kittson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Koochiching,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lac qui Parle,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
