County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adams,2,2,2,3,6,6,7,7,10,11,14,14
Alcorn,0,0,0,0,0,1,1,0,3,3,3,6
Amite,0,0,1,1,0,0,4,4,4,4,4,5
Attala,1,3,4,7,8,9,9,9,10,11,12,14
Benton,0,0,0,1,2,2,4,4,4,4,5,5
Bolivar,4,4,4,6,9,11,11,11,22,25,27,32
Calhoun,0,0,1,3,3,3,3,3,3,3,4,4
Carroll,0,0,0,0,0,0,1,1,1,2,3,5
Chickasaw,3,6,6,7,9,10,10,10,13,15,14,15
Choctaw,0,1,3,4,4,4,5,5,6,7,7,7
Claiborne,0,0,0,0,0,0,1,1,1,1,1,1
Clarke,0,0,0,0,0,1,1,1,4,5,4,4
Clay,1,1,1,1,2,2,2,2,4,5,7,7
Coahoma,8,11,11,17,18,18,18,18,21,22,23,26
Copiah,4,5,6,8,8,8,8,8,9,9,10,11
Covington,0,0,0,0,0,1,1,1,2,3,3,4
DeSoto,23,29,36,49,63,65,71,71,84,94,103,111
Forrest,11,14,15,16,16,18,19,19,21,27,26,30
Franklin,3,3,3,2,2,3,3,3,3,3,3,3
George,1,1,1,1,1,1,3,3,3,4,4,4
Greene,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,2,2,2,2,2,2,3,3,3,3,4,4
Hancock,4,5,5,6,9,9,15,15,16,20,22,28
Harrison,21,24,25,31,34,38,43,43,45,49,53,69
Hinds,24,31,38,43,50,58,66,66,90,109,118,139
Holmes,6,6,7,7,10,13,13,13,15,16,16,16
Humphreys,1,1,1,1,1,2,2,2,3,4,4,4
Issaquena,0,0,0,0,0,0,0,0,0,0,0,0
Itawamba,3,3,3,3,3,3,3,3,3,4,3,3
Jackson,7,10,12,16,24,33,34,34,40,52,57,75
Jasper,0,0,0,0,0,0,0,0,0,1,2,3
Jefferson,0,0,0,0,1,1,1,1,1,1,1,1
Jefferson Davis,0,0,0,0,0,0,0,0,0,0,0,0
Jones,1,1,1,1,1,3,5,5,6,6,6,8
Kemper,0,0,0,0,1,1,1,1,1,1,4,4
Lafayette,5,8,8,10,11,11,13,13,15,15,16,21
Lamar,1,2,2,4,4,4,4,4,5,6,8,9
Lauderdale,0,0,0,3,10,12,15,15,35,39,46,50
Lawrence,2,2,3,5,5,5,5,5,5,5,5,5
Leake,1,2,3,4,4,4,5,5,5,5,6,7
Lee,8,12,14,15,15,17,21,21,24,25,24,26
Leflore,9,10,13,13,13,15,15,15,19,20,20,21
Lincoln,4,4,4,6,6,8,9,9,11,13,14,14
Lowndes,6,6,6,8,9,10,10,10,11,11,10,12
Madison,11,14,17,21,25,29,37,37,42,53,55,65
Marion,1,1,1,1,1,3,4,4,5,6,5,5
Marshall,3,3,4,7,9,11,13,13,14,15,18,19
Monroe,2,3,3,3,3,3,5,5,6,7,11,12
Montgomery,1,2,4,4,4,5,6,6,7,8,8,10
Neshoba,0,0,0,0,1,3,4,4,4,5,4,5
Newton,0,1,1,1,1,1,1,1,2,2,4,4
Noxubee,0,1,1,1,1,2,2,2,3,3,4,5
Oktibbeha,5,5,7,10,12,14,15,15,17,18,20,23
Panola,2,2,2,4,4,4,5,5,7,8,8,8
Pearl River,12,13,13,16,18,23,27,27,30,32,36,41
Perry,1,1,1,1,2,2,2,2,3,5,6,11
Pike,4,7,10,12,12,12,14,14,17,20,21,21
Pontotoc,1,2,2,3,4,4,3,3,5,6,10,11
Prentiss,0,0,1,1,1,2,4,4,4,4,4,9
Quitman,0,0,0,2,3,4,4,4,3,4,4,4
Rankin,8,13,20,23,29,31,35,35,40,48,50,64
Scott,1,2,3,4,6,7,7,7,10,12,13,17
Sharkey,0,0,0,0,1,1,1,1,1,2,2,2
Simpson,1,1,1,1,1,2,2,2,2,3,4,5
Smith,1,1,1,1,1,1,1,1,1,1,6,6
Stone,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower,2,3,3,4,5,7,10,10,11,12,12,13
Tallahatchie,1,2,2,2,2,2,2,2,2,2,2,2
Tate,1,1,2,6,8,8,9,9,11,11,12,13
Tippah,9,11,11,14,15,18,23,23,26,28,29,30
Tishomingo,0,0,0,0,0,0,0,0,1,1,1,1
Tunica,2,3,3,5,6,6,6,6,12,13,14,14
Union,1,1,2,2,3,3,3,3,3,3,4,5
Walthall,2,2,3,4,4,5,5,5,5,7,10,11
Warren,0,0,0,0,0,0,1,1,1,2,2,2
Washington,4,5,5,9,11,13,16,16,20,22,29,31
Wayne,0,0,0,0,0,0,0,0,0,0,1,1
Webster,1,2,2,2,3,3,3,3,5,7,8,8
Wilkinson,3,4,5,8,9,11,12,12,14,16,17,22
Winston,2,2,3,3,3,4,4,4,7,9,9,11
Yalobusha,0,0,0,3,3,3,3,3,6,6,7,7
Yazoo,1,3,3,3,4,4,5,5,9,9,11,13
Out of MS,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,89,0,0,0,0
