County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adams,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alcorn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Amite,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Attala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bolivar,0,0,0,0,0,0,0,0,1,1,1,1,1,2,2
Calhoun,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chickasaw,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2
Choctaw,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Claiborne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clarke,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coahoma,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Copiah,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Covington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeSoto,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Forrest,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
George,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hancock,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Harrison,0,0,0,0,1,1,1,1,1,1,1,1,3,3,3
Hinds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holmes,0,0,1,1,1,1,1,1,1,2,2,1,1,1,2
Humphreys,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Issaquena,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Itawamba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,0,0,0,0,0,0,0,0,0,0,1,1,1,3,5
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson Davis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jones,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kemper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Lamar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lauderdale,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Leake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lee,0,0,0,0,0,1,1,1,1,1,1,1,1,1,2
Leflore,0,0,0,0,0,0,0,0,1,1,1,1,1,3,4
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lowndes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marshall,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Monroe,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Montgomery,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Neshoba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Noxubee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oktibbeha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Panola,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Pearl River,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2
Perry,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pontotoc,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Prentiss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Quitman,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rankin,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sharkey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Simpson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Smith,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sunflower,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
Tallahatchie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tippah,0,0,0,0,1,2,2,2,2,2,2,3,3,3,3
Tishomingo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tunica,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1
Union,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Walthall,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1
Wilkinson,0,0,0,1,1,1,2,2,2,2,2,2,3,3,3
Winston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yalobusha,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yazoo,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1
Out of MS,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
