County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Adair,2,1,1,1,1,1,1,1,2,3,6,6
Andrew,0,0,0,0,0,0,0,0,0,0,0,0
Atchison,0,0,0,1,1,1,1,1,1,1,1,1
Audrain,0,0,0,0,0,0,0,0,0,0,0,0
Barry,0,0,0,0,0,1,1,1,1,1,1,1
Barton,0,0,0,0,0,0,0,0,0,0,0,0
Bates,1,1,1,1,1,1,2,1,1,2,2,2
Benton,0,0,0,1,1,1,1,1,2,3,3,3
Bollinger,0,0,0,1,1,1,1,1,1,1,1,1
Boone,17,20,22,37,37,49,54,59,64,66,69,69
Buchanan,0,0,0,0,2,3,3,3,5,5,5,8
Butler,0,0,0,0,0,0,0,0,0,1,1,1
Caldwell,0,0,0,0,0,0,0,0,0,1,1,1
Callaway,1,2,2,2,3,6,8,13,14,17,18,18
Camden,1,1,1,1,1,4,7,11,12,17,19,19
Cape Girardeau,0,0,3,3,5,5,5,13,15,15,15,15
Carroll,0,0,0,0,0,0,0,0,0,0,0,0
Carter,0,0,0,1,1,2,2,2,4,4,4,4
Cass,6,6,8,8,8,8,8,9,14,17,21,21
Cedar,0,0,0,0,0,0,0,5,5,5,5,5
Chariton,0,0,0,0,1,1,1,3,4,4,4,4
Christian,2,2,1,2,3,7,7,12,12,12,12,12
Clark,0,0,0,0,0,0,0,0,0,0,0,0
Clay,3,3,2,5,9,10,11,13,16,21,23,23
Clinton,1,1,1,1,1,1,1,4,4,5,6,6
Cole,5,5,6,8,10,17,17,25,25,25,25,25
Cooper,0,0,1,1,1,1,1,1,2,2,2,2
Crawford,0,0,0,0,0,0,0,1,1,1,1,1
Dade,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,0,0,0,0,0,0,0,0,0,0,0,0
Daviess,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,0,0,0,0,1,1,1
Dent,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0
Dunklin,1,1,1,2,3,3,3,6,6,6,6,6
Franklin,0,0,3,4,4,6,7,7,13,16,19,19
Gasconade,0,0,0,0,0,0,0,0,0,1,1,1
Gentry,0,0,0,0,0,0,0,0,0,0,0,0
Greene,17,19,23,25,31,41,46,48,48,51,54,54
Grundy,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,1,1,2,2
Henry,1,1,1,1,1,1,1,1,1,1,1,1
Hickory,0,0,0,0,0,0,0,0,0,0,0,0
Holt,0,0,0,0,0,0,0,0,0,0,0,0
Howard,0,0,0,0,0,0,0,0,0,0,0,0
Howell,0,0,0,0,0,0,0,0,0,0,1,1
Iron,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,10,14,17,31,41,43,48,56,77,86,103,103
Jasper,1,1,2,2,2,4,6,6,7,7,7,9
Jefferson,0,4,5,10,15,17,17,18,30,38,47,47
Johnson,1,1,2,8,8,9,10,10,19,19,26,26
Knox,0,0,0,0,0,0,0,0,0,0,0,0
Laclede,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,1,1,2,2,4,4,4,17,19,20,20,20
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,1,2,2,2,5,7,10,12,12
Linn,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,1,1,1,1,1
McDonald,0,0,1,1,1,1,1,2,2,2,2,2
Macon,0,0,0,0,0,0,0,1,3,3,3,3
Madison,0,0,0,0,0,0,0,0,0,0,0,0
Maries,0,0,0,0,0,0,1,1,1,2,2,2
Marion,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0
Miller,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0
Moniteau,1,1,2,2,2,3,4,2,2,2,2,2
Monroe,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,1,2,3,3,3,2,2,2,2,2
Morgan,0,0,0,0,0,0,0,1,1,1,1,1
New Madrid,0,0,0,0,0,0,0,0,0,0,1,1
Newton,0,0,1,3,3,4,4,4,5,5,6,6
Nodaway,0,0,0,0,0,0,0,0,0,0,0,1
Oregon,0,0,0,0,0,0,0,0,0,0,0,0
Osage,0,0,0,0,0,0,0,1,1,2,2,2
Ozark,0,0,0,0,0,0,0,0,0,0,0,0
Pemiscot,0,1,1,1,1,1,1,2,2,2,3,3
Perry,1,2,2,4,6,7,7,12,14,18,19,19
Pettis,0,0,0,0,1,1,1,1,1,1,1,1
Phelps,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,1,1,1,1,2
Platte,1,2,2,5,5,6,6,7,9,12,13,13
Polk,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,1,4,4,4,4,5,5,7,7,8,8,8
Putnam,0,0,0,0,0,0,0,0,0,0,0,0
Ralls,0,0,1,1,1,1,1,1,1,1,1,1
Randolph,0,1,1,1,1,1,1,1,2,2,2,2
Ray,0,0,0,0,1,1,1,1,1,1,1,1
Reynolds,0,0,0,0,0,0,0,2,2,2,2,2
Ripley,0,0,0,0,0,0,2,2,2,2,2,2
St. Charles,4,8,12,24,32,37,43,56,71,93,105,105
St. Clair,0,0,0,0,0,0,0,0,0,0,0,0
Ste. Genevieve,0,0,0,0,0,0,0,0,2,3,3,3
St. Francois,1,2,2,2,4,4,4,3,5,6,9,9
St. Louis,69,100,129,173,247,313,336,366,492,605,712,712
Saline,0,0,0,0,0,0,0,0,0,0,0,0
Schuyler,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,0,0,0,0,0,0,0,0,0,0,0,0
Scott,1,1,1,1,1,3,3,5,6,6,6,6
Shannon,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,1,1,1,1,1,1,1,1,1,1
Stoddard,0,0,0,1,1,1,2,2,3,3,3,3
Stone,0,0,0,0,0,0,0,1,1,2,2,2
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0
Taney,1,1,1,1,1,2,2,2,2,2,2,2
Texas,0,0,0,0,1,1,1,1,1,1,1,1
Vernon,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,2,2,5,6,7,7
Washington,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,2,2,2,2
Worth,0,0,0,0,0,0,0,0,0,0,0,0
Wright,0,0,0,0,1,1,3,4,4,4,6,6
St. Louis City,15,23,44,69,72,95,102,102,150,195,239,239
Kansas City,17,21,43,64,78,94,102,100,119,128,139,139
Out of MO,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,4,6,0,0,0,0,0,0,0,0,0,0
