County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Adair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Andrew,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Atchison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Audrain,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Barton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bates,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Bollinger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Boone,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Buchanan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Butler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Caldwell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Callaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Camden,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Cape Girardeau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Cass,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1
Cedar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chariton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clay,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clinton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1
Cooper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Crawford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dallas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daviess,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DeKalb,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dent,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dunklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Franklin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
Gasconade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gentry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greene,0,3,3,3,3,4,4,4,4,6,6,6,7,7,7
Grundy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Harrison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Henry,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1
Hickory,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Holt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Howell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jackson,1,1,1,1,1,1,1,1,1,1,2,3,3,3,4
Jasper,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Johnson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Knox,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Laclede,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lafayette,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1
Lawrence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Linn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Livingston,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
McDonald,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Macon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maries,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Marion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mercer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Miller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mississippi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Moniteau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monroe,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montgomery,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Morgan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Madrid,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Newton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nodaway,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osage,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ozark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pemiscot,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Perry,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pettis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phelps,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pike,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Platte,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Polk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pulaski,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Putnam,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ralls,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Randolph,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ray,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Reynolds,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ripley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Charles,0,0,1,1,1,1,2,2,2,2,4,4,4,7,5
St. Clair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ste. Genevieve,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Francois,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
St. Louis,1,1,1,2,2,2,2,2,3,3,4,4,7,11,13
Saline,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Schuyler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Scott,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shannon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Shelby,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stoddard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Taney,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
Texas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vernon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Warren,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washington,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Webster,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Worth,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wright,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
St. Louis City,1,1,1,1,1,1,1,1,1,1,1,1,5,6,4
Kansas City,0,0,0,0,0,0,0,0,0,0,0,2,2,2,0
Out of MO,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
