County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Beaverhead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Big Horn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Broadwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carbon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carter,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cascade,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chouteau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Custer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Daniels,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dawson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Deer Lodge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fallon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Fergus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Flathead,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gallatin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Garfield,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Glacier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Golden Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Granite,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jefferson,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Judith Basin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lake,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lewis and Clark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liberty,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,1,1,1,1,1,1,1,1,1,1
McCone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Madison,0,0,0,0,0,0,0,2,2,2,2,1,1,1,1
Meagher,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Missoula,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Musselshell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Park,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Petroleum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Phillips,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pondera,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powder River,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Powell,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Prairie,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ravalli,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Richland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Roosevelt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rosebud,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sanders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sheridan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Silver Bow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Stillwater,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sweet Grass,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Teton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Toole,0,0,0,0,0,0,0,2,2,3,3,3,3,3,3
Treasure,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Valley,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wheatland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Wibaux,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yellowstone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of MT,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
