County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Churchill,0,0,0,0,0,0,0,0,0,0,0,0
Clark,126,212,249,350,443,443,528,753,869,961,1125,1279
Douglas,0,2,3,3,3,5,5,5,6,6,6,7
Elko,2,2,2,2,2,2,3,3,5,5,5,7
Esmeralda,0,0,0,0,0,0,0,0,0,0,0,0
Eureka,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,0,0,0,0,1,1,1,1,3,5,5,7
Lander,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,1,1,1,1,1,1,1,1,1,2
Mineral,0,0,0,0,0,0,0,0,0,0,0,0
Nye,0,1,1,1,1,1,1,1,1,4,4,6
Pershing,0,0,0,0,0,0,0,0,0,0,0,0
Storey,0,0,0,0,0,0,0,0,0,0,0,0
Washoe,25,44,50,57,67,75,107,111,121,143,163,184
White Pine,0,0,0,0,0,0,0,0,1,1,1,1
Carson City,3,2,2,2,2,5,5,5,5,5,5,5
Out of NV,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,89,15,15,4,16,93,269,132,102,148,148,16
