County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Churchill,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clark,4,4,6,6,10,10,14,14,23,28,34,39,41,41,41
Douglas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Elko,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1
Esmeralda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eureka,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Humboldt,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lander,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Lyon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mineral,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nye,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pershing,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Storey,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Washoe,0,0,0,0,0,0,1,1,3,3,4,4,4,4,4
White Pine,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carson City,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of NV,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
