County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Belknap,4,7,7,8,8,9,9,9,12,12,13,13
Carroll,6,7,7,7,7,8,8,10,12,12,14,14
Cheshire,1,1,1,1,2,2,2,3,4,4,8,8
Coos,0,0,0,0,0,0,0,0,0,0,0,0
Grafton,15,20,21,22,23,26,28,29,34,34,38,38
Hillsborough,16,19,20,30,31,43,53,69,99,99,0,163
Merrimack,4,4,4,5,7,11,14,18,27,27,33,33
Rockingham,28,38,42,56,67,75,86,100,137,137,170,170
Strafford,3,4,5,7,7,11,12,17,28,28,35,35
Sullivan,1,1,1,1,2,2,2,3,4,4,5,5
Out of NH,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,23,0,0,0,4,0,0,56,0,0,0,0
