County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Belknap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Carroll,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cheshire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coos,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grafton,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hillsborough,1,1,1,1,1,2,2,2,2,2,0,2,2,2,2
Merrimack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Rockingham,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1
Strafford,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sullivan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Out of NH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,2,2,4,6,6
