County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03,2020-04-04,2020-04-05,2020-04-06
string,number,number,number,number,number,number,number,number,number,number,number,number,number,number,number
Atlantic,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
Bergen,6,6,6,6,6,13,23,23,4,75,120,132,179,189,200
Burlington,0,0,0,0,0,0,2,2,0,5,8,9,10,11,11
Camden,1,1,1,1,1,1,1,1,3,3,6,7,8,8,8
Cape May,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3
Cumberland,0,0,0,0,0,0,0,1,1,1,1,1,2,2,2
Essex,4,4,4,4,4,7,13,13,4,69,99,118,155,172,186
Gloucester,0,0,0,0,0,1,1,1,0,2,2,3,3,3,3
Hudson,1,1,1,1,2,4,6,7,2,29,44,59,78,87,92
Hunterdon,0,0,0,0,0,0,0,0,0,0,0,0,1,2,2
Mercer,0,0,0,0,0,0,0,0,0,3,4,5,13,16,19
Middlesex,0,0,0,0,0,4,12,12,0,27,48,56,76,80,87
Monmouth,3,3,3,3,3,6,8,8,2,24,38,48,54,58,62
Morris,1,1,1,1,1,3,8,8,1,25,40,43,51,55,60
Ocean,1,1,1,1,1,4,6,6,1,23,38,45,56,62,71
Passaic,0,0,0,0,7,7,10,10,1,15,22,34,38,42,53
Salem,0,0,0,0,0,0,0,0,0,1,1,2,2,2,2
Somerset,1,1,1,1,1,4,6,6,1,15,17,23,24,26,31
Sussex,0,0,0,0,0,0,1,1,0,6,7,8,9,9,11
Union,0,0,0,0,0,0,7,7,0,29,34,45,66,71,78
Warren,0,0,0,0,0,0,1,1,0,3,3,3,6,6,7
Out of NJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,9,26,44,63,82,86,56,91,247,0,4,4,14,13,14
