County,2020-03-23,2020-03-24,2020-03-25,2020-03-26,2020-03-27,2020-03-28,2020-03-29,2020-03-30,2020-03-31,2020-04-01,2020-04-02,2020-04-03
string,number,number,number,number,number,number,number,number,number,number,number,number
Bernalillo,38,43,48,48,55,93,101,101,129,129,148,202
Catron,0,0,0,0,0,0,0,0,0,0,0,0
Chaves,4,4,4,4,4,7,8,8,10,10,10,13
Cibola,0,1,1,1,1,2,2,2,2,2,5,11
Colfax,0,0,0,0,0,0,0,0,0,0,0,0
Curry,0,1,1,1,1,1,3,3,3,3,5,6
De Baca,0,0,0,0,0,0,0,0,0,0,0,0
Dona Ana,10,13,13,13,16,17,17,17,18,18,21,23
Eddy,0,0,1,1,1,3,4,4,4,4,4,4
Grant,0,0,0,0,0,0,0,0,0,0,1,1
Guadalupe,0,0,0,0,0,0,0,0,0,0,0,0
Harding,0,0,0,0,0,0,0,0,0,0,0,0
Hidalgo,0,0,0,0,0,0,0,0,0,0,0,0
Lea,1,1,1,1,1,2,2,2,2,2,2,2
Lincoln,0,0,0,0,0,0,0,0,0,0,0,0
Los Alamos,0,0,0,0,0,0,0,0,0,0,0,0
Luna,0,0,0,0,0,0,0,0,0,0,0,0
McKinley,2,3,3,3,3,5,9,9,16,25,29,46
Mora,0,0,0,0,0,0,0,0,0,0,0,0
Otero,0,0,0,0,0,0,0,0,0,1,1,1
Quay,0,0,0,0,0,0,0,0,0,0,0,0
Rio Arriba,0,0,2,2,2,3,2,2,4,4,4,5
Roosevelt,0,0,0,0,0,1,1,1,1,1,1,1
Sandoval,7,7,8,8,10,15,18,18,29,29,32,66
San Juan,3,7,8,8,14,18,22,22,32,47,52,72
San Miguel,1,1,1,1,1,1,1,1,1,1,1,1
Santa Fe,12,14,17,17,22,29,34,34,42,42,48,48
Sierra,0,0,0,0,0,0,0,0,0,0,0,0
Socorro,2,2,2,2,2,2,2,2,3,3,3,8
Taos,3,3,3,3,3,8,9,9,11,11,12,13
Torrance,0,0,0,0,0,0,0,0,3,3,3,3
Union,0,0,0,0,0,0,0,0,0,0,0,0
Valencia,0,0,0,0,0,1,2,2,5,5,5,5
Out of NM,0,0,0,0,0,0,0,0,0,0,0,0
Unassigned,0,0,0,0,0,0,0,0,0,0,1,3
